Id,Name,InventoryItemId,Measure,Quantity,IsBatch
0,Stewed Tomatoes,,1 CAN,1,FALSE
1,Black Beans,,1 CAN,1,FALSE
2,Pinto Beans,,2 CANS,2,FALSE
3,Roasted Bell Peppers,,.5 CAN,30,FALSE
4,Canola Oil,,2 TBL,2,FALSE
5,Sugar (BROWN),,.5 CUP,0.5,FALSE
6,Cayenne Pepper,,1 TBL,1,FALSE
7,Pepper,,1 TBL,1,FALSE
8,Salt,,5 TBL,5,FALSE
9,Chili Powder,,5 TBL,5,FALSE
10,Paprika,,2 TBL,2,FALSE
11,Yellow Onions,,1/2 Pan,90,FALSE
12,Jalapenos,,4 EA,8,FALSE
13,Garlic Peeled,,1/4 CUP,4,FALSE
14,Ground Beef,,.5 LOG,0.5,FALSE
