Id,Date,GrossSales,SalesForecast,BreadDescDBString
0,6/5/2017 12:00:00 AM,0,0,Name=Sourdough;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=50;Id=-1
1,6/6/2017 12:00:00 AM,0,0,Name=Sourdough;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=50;Id=-1
2,6/7/2017 12:00:00 AM,0,0,Name=Sourdough;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=50;Id=-1
3,6/8/2017 12:00:00 AM,0,0,Name=Sourdough;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=50;Id=-1
4,6/9/2017 12:00:00 AM,0,2500,Name=Sourdough;BeginInventory=104;Delivery=224;Backup=64;FreezerCount=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=64;Backup=32;FreezerCount=56;ParFactor=50;Id=-1
5,6/10/2017 12:00:00 AM,0,2500,Name=Sourdough;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=0;Backup=32;FreezerCount=0;ParFactor=50;Id=-1
6,6/11/2017 12:00:00 AM,0,0,Name=Sourdough;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;Delivery=0;Backup=0;FreezerCount=0;ParFactor=50;Id=-1
7,6/12/2017 12:00:00 AM,1847.11,0,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
8,6/13/2017 12:00:00 AM,1774.03,1700,Name=Sourdough;BeginInventory=64;FreezerCount=0;Delivery=200;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=24;Delivery=48;Backup=32;ParFactor=50;Id=-1
9,6/14/2017 12:00:00 AM,2082.57,1800,Name=Sourdough;BeginInventory=136;FreezerCount=24;Delivery=184;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=24;Delivery=40;Backup=32;ParFactor=50;Id=-1
10,6/15/2017 12:00:00 AM,2512.78,2200,Name=Sourdough;BeginInventory=48;FreezerCount=72;Delivery=112;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=24;Delivery=32;Backup=32;ParFactor=50;Id=-1
11,6/16/2017 12:00:00 AM,2131.54,2200,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=328;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=8;Delivery=56;Backup=32;ParFactor=50;Id=-1
12,6/17/2017 12:00:00 AM,1945.74,2000,Name=Sourdough;BeginInventory=128;FreezerCount=0;Delivery=184;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=8;Delivery=56;Backup=32;ParFactor=50;Id=-1
