Id,Name,WeekSales,WeekPSales,WeekBudget,WeekPBudget,PrevPeriodSales,PrevPeriodBudget,Date,ExpenseType
0,Food,17535.42,0.9190866,0,0,15023.62,0,10/30/2017 12:00:00 AM,Sales
1,Beverage,570.5107,0.02990226,0,0,403.5703,0,10/30/2017 12:00:00 AM,Sales
2,Other,973.2516,0.05101118,0,0,743.451,0,10/30/2017 12:00:00 AM,Sales
3,Total,19079.18,1,0,1,16170.64,0,10/30/2017 12:00:00 AM,Sales
4,Food,5553.767,0.3167171,0,0,4645.43,0,10/30/2017 12:00:00 AM,Cost of Sales
5,Beverage,76.09122,0.1333739,0,0,30,0,10/30/2017 12:00:00 AM,Cost of Sales
6,Paper Goods,764.6729,0.04007891,0,0,789.29,0,10/30/2017 12:00:00 AM,Cost of Sales
7,Total,6435.921,0.3373269,0,0,5464.72,0,10/30/2017 12:00:00 AM,Cost of Sales
8,Gross Profit,12643.26,0.6626731,0,0,10705.92,0,10/30/2017 12:00:00 AM,Cost of Sales
9,Payroll,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
10,Payroll Taxes,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
11,Benefits & Expenditures,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
12,Total Payroll,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
13,Prime Cost,12643.26,0,0,0,5464.72,0,10/30/2017 12:00:00 AM,Payroll
14,Profit after Prime Cost,6435.921,0,0,0,10705.92,0,10/30/2017 12:00:00 AM,Payroll
15,Credit Card Processing,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
16,Direct Operating,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
17,Administrative,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
18,Advertising and Promotion,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
19,Repairs & Maintenance,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
20,Occupancy Cost,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
21,Total Overhead Expense,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Overhead Expense
22,Total,19063.61,1,0,1,0,0,11/6/2017 12:00:00 AM,Sales
23,Food,5413.171,0.3066712,0,0,0,0,11/6/2017 12:00:00 AM,Cost of Sales
24,Beverage,36.72751,0.0907748,0,0,0,0,11/6/2017 12:00:00 AM,Cost of Sales
25,Paper Goods,744.7169,0.03906485,0,0,0,0,11/6/2017 12:00:00 AM,Cost of Sales
26,Total,6238.853,0.3272651,0,0,0,0,11/6/2017 12:00:00 AM,Cost of Sales
27,Gross Profit,12824.75,0.6727349,0,0,0,0,11/6/2017 12:00:00 AM,Cost of Sales
28,Payroll,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
29,Payroll Taxes,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
30,Benefits & Expenditures,0,0,0,0,0,0,10/30/2017 12:00:00 AM,Payroll
