Id,Name,Category,PurchasedUnit,LastOrderAmount,LastPurchasedPrice,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,2,54.49,0,5lb BAG,6,OZ-wt,80,1,1/21/2018 12:00:00 AM,0
1,Cheddar,Dairy,CASE 20lb,3,41.14,0,5lb BAG,4,OZ-wt,80,1,1/21/2018 12:00:00 AM,0
2,Pepper Jack,Dairy,CASE 20lb,0,47.79,0,5lb BAG,4,OZ-wt,80,1,1/17/2018 12:00:00 AM,0
3,Feta,Dairy,33lbs,2,55.39,2,5lb BAG,1,OZ-wt,160,1,12/11/2017 12:00:00 AM,2
4,Butter,Dairy,CASE 30lb,1,81.7113,23,1lb,30,OZ-wt,16,1,2/22/2017 7:09:00 PM,9
5,Sour Cream,Dairy,2 x 5lb,1,13.99,0,GALLON,2,OZ-wt,16,1,1/21/2018 12:00:00 AM,0
6,Heavy Cream,Dairy,1/2 Gallon,0,6.2036,2.5,1/2 GALLON,1,CUP,48,1,7/6/2017 12:00:00 AM,9
8,Eggs,Dairy,15 DOZEN,0,16.98,0,TRAY,6,EA,180,95,1/17/2018 12:00:00 AM,0
9,Whole Milk,Dairy,2 GALLON,28,5.49,20,GALLON,2,CUP,16,100,7/6/2017 12:00:00 AM,6
11,Pesto,Dairy,2/22lb,1,106,0,BAG,2,OZ-wt,4,970000,1/17/2018 12:00:00 AM,0
13,Pizza Sauce,Grocery,6# CANS,1,21.45,0,CAN,6,EA,6,100,1/21/2018 12:00:00 AM,0
14,Stewed Tomatoes,Grocery,6# CANS,0,15.47,0,CAN,6,EA,6,100,1/10/2018 12:00:00 AM,0
18,Artichoke Hearts,Grocery,6# CANS,4,43.83,18,CAN,6,OZ-wt,324,10000,12/11/2017 12:00:00 AM,2
19,Mayonnaise,Grocery,4 GAL,1,25.75,0,JUG,4,EA,4,10000,1/21/2018 12:00:00 AM,0
