Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,56.35,6,CASE 30lb,Dairy,10,5lb BAG,OZ-wt,80,1,2,2/26/2018 11:53:10 AM,0
1,Cheddar,42.24,4,CASE 20lb,Dairy,8,5lb BAG,OZ-wt,80,1,2,2/26/2018 11:53:10 AM,0
2,Pepper Jack,43.9,4,CASE 20lb,Dairy,3,5lb BAG,OZ-wt,80,1,1,2/22/2018 2:57:03 PM,0
3,Feta,49.74,1,33lbs,Dairy,1.7,5lb BAG,OZ-wt,160,1,0,2/11/2018 12:00:00 AM,2
4,Butter,85.88,30,CASE 30lb,Dairy,30,1lb,OZ-wt,16,1,1,2/19/2018 12:00:00 AM,0
5,Sour Cream,13.99,2,2 x 5lb,Dairy,1,GALLON,OZ-wt,16,1,1,2/26/2018 11:53:10 AM,0
6,Heavy Cream,5.99,1,1/2 Gallon,Dairy,3,1/2 GALLON,CUP,8,1,3,2/2/2018 12:40:38 PM,6
8,Eggs,31.89,6,15 DOZEN,Dairy,5.2,TRAY,EA,180,95,1,2/26/2018 11:53:10 AM,0
9,Whole Milk,4.99,2,2 GALLON,Dairy,32,GALLON,CUP,16,1,28,,6
11,Pesto,107.99,2,2/22lb,Dairy,3,BAG,OZ-wt,1,1,2,2/26/2018 11:53:10 AM,0
13,Pizza Sauce,22,6,6# CANS,Grocery,9,CAN,EA,6,100,1,2/26/2018 11:53:10 AM,0
14,Stewed Tomatoes,15.79,6,6# CANS,Grocery,8,CAN,EA,1,1,1,2/22/2018 2:57:03 PM,0
18,Artichoke Hearts,62.57,6,6# CANS,Grocery,49,CAN,OZ-wt,324,10000,1,2/22/2018 2:57:03 PM,0
19,Mayonnaise,26.99,4,4 GAL,Grocery,2,JUG,EA,1,1,1,2/26/2018 11:53:10 AM,0
20,BBQ Sauce,39.94,4,CS 39.5lbs,Grocery,8,JUG,OZ-wt,632,9800,1,2/22/2018 2:57:03 PM,0
21,Macaroni,19.82,2,20lb CASE,Grocery,20,BAG,EA,160,2.41,3,2/26/2018 11:53:10 AM,0
23,Roasted Bell Peppers,37.94,6,6# CANS,Grocery,89,CAN,OZ-wt,63.5,1,3,2/22/2018 2:57:03 PM,0
24,Chopped Clams,91.55,12,12x48oz CANS,Grocery,13,CAN,EA,1,1,1,2/22/2018 2:57:03 PM,0
25,Tomato Juice,15.79,12,12x48oz CANS,Grocery,6,CAN,EA,1,1,1,2/26/2018 11:53:10 AM,0
26,Clam Juice,31.37,12,12x48oz CANS,Grocery,1,CAN,EA,1,1,0,,2
30,Balsamic Vinegar,18.5,2,2 x 5 Liter,Grocery,3.3,JUG,OZ-wt,169.07,1,0,,2
31,Tapatio,12.84,12,EA,Grocery,39,BOTTLE,EA,12,1,0,2/11/2018 12:00:00 AM,2
32,Sriracha,18.5,12,12x17oz,Grocery,37,BOTTLE,EA,12,1,0,2/11/2018 12:00:00 AM,2
33,Chicken Broth,35.99,4,4x32oz,Grocery,3,BOTTLE,OZ-wt,1,1,0,,2
34,Canola Oil,25.05,1,35lb JUG,Grocery,1.1,JUG,OZ-wt,800,99,1,2/19/2018 12:00:00 AM,0
36,Olive Oil,49.95,6,6 GAL,Grocery,10.5,JUG,OZ-fl,128,1,2,2/26/2018 11:53:10 AM,0
38,Sugar (BROWN),13.88,16,25lb,Grocery,15,QUART,CUP,62.5,1,0,,6
