Id,PurchasedUnit,Name,Category,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
0,CASE 30lb,Mozzarella,Dairy,5,5lb BAG,6,OZ-wt,480,1,66.76,2,
1,CASE 20lb,Cheddar,Dairy,7,5lb BAG,4,OZ-wt,320,1,43.65,1,
2,CASE 20lb,Pepper Jack,Dairy,8,5lb BAG,4,OZ-wt,320,1,43.78,1,12/28/2016 11:52:40 AM
3,CASE 10lb,Feta,Dairy,4,5lb BAG,2,OZ-wt,160,1,28.98,1,
4,CASE 30lb,Butter,Dairy,17,1lb,30,OZ-wt,480,1,76.99,1,
5,CASE 10lb,Sour Cream,Dairy,12,5lb BUCKET,2,OZ-wt,160,0.95,12.4,0,
6,6 1/2 Gallon,Heavy Cream,Dairy,5,1/2 GALLON,6,CUP,48,1,41.5,1,
8,15 DOZEN,Eggs,Dairy,6,TRAY,6,EA,180,0.95,19.8,1,
9,2 GALLON,Whole Milk,Dairy,6,GALLON,4,CUP,32,1,14,1,
11,4/33.5,Pesto,Dairy,12,BUCKET,4,OZ-wt,4,0.97,126,1,
12,BUCKET,Cookie Dough,Dairy,2.1,BUCKET,1,OZ-wt,,1,9.29,1,1/11/2017 3:01:07 PM
13,6# CANS,Pizza Sauce,Dry Goods,5,CAN,6,EA,6,1,20.03,2,
14,6# CANS,Stewed Tomatoes,Dry Goods,1,CAN,6,EA,6,1,13.62,3,
15,6# CANS,Black Beans,Dry Goods,1,CAN,6,EA,6,1,19.29,1,
16,6# CANS,Garbanzo Beans,Dry Goods,4,CAN,6,EA,6,1,21.63,1,
17,6# CANS,Pinto Beans,Dry Goods,2,CAN,6,EA,6,1,22.33,1,
18,6# CANS,Artichoke Hearts,Dry Goods,7,CAN,6,OZ-wt,324,1,44.95,1,12/28/2016 11:52:40 AM
19,4 GAL,Mayonnaise,Dry Goods,1,JUG,4,EA,4,1,23.01,1,
