Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
0,Mozzarella,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,480,1,66.76,2,
1,Cheddar,Dairy,CASE 20lb,4,5lb BAG,4,OZ-wt,320,1,43.65,1,
2,Pepper Jack,Dairy,CASE 20lb,3,5lb BAG,4,OZ-wt,320,1,43.78,1,12/28/2016 11:52:40 AM
3,Feta,Dairy,CASE 10lb,1.6,5lb BAG,2,OZ-wt,160,1,28.98,1,
4,Butter,Dairy,CASE 30lb,27,1lb,30,OZ-wt,480,1,76.99,1,
5,Sour Cream,Dairy,CASE 10lb,1,5lb BUCKET,2,OZ-wt,160,0.95,12.4,0,
6,Heavy Cream,Dairy,6 1/2 Gallon,8.5,1/2 GALLON,6,CUP,48,1,41.5,1,
8,Eggs,Dairy,15 DOZEN,6,TRAY,6,EA,180,0.95,19.8,1,
9,Whole Milk,Dairy,2 GALLON,6,GALLON,4,CUP,32,1,14,1,
11,Pesto,Dairy,4/33.5,1,BUCKET,4,OZ-wt,4,0.97,126,1,
12,Cookie Dough,Dairy,BUCKET,0,BUCKET,1,OZ-wt,,1,9.29,1,1/11/2017 3:01:07 PM
13,Pizza Sauce,Dry Goods,6# CANS,5,CAN,6,EA,6,1,20.03,2,
14,Stewed Tomatoes,Dry Goods,6# CANS,3,CAN,6,EA,6,1,13.62,3,
15,Black Beans,Dry Goods,6# CANS,10,CAN,6,EA,6,1,19.29,1,
16,Garbanzo Beans,Dry Goods,6# CANS,0,CAN,6,EA,6,1,21.63,1,
17,Pinto Beans,Dry Goods,6# CANS,0,CAN,6,EA,6,1,22.33,1,
18,Artichoke Hearts,Dry Goods,6# CANS,11,CAN,6,OZ-wt,324,1,44.95,1,12/28/2016 11:52:40 AM
19,Mayonnaise,Dry Goods,4 GAL,6,JUG,4,EA,4,1,23.01,1,
20,BBQ Sauce,Dry Goods,CS 39.5lbs,3,JUG,4,OZ-wt,632,0.98,33.88,1,
21,Macaroni,Dry Goods,2lb,15,BAG,2,EA,320,2.41,14.29,4,
23,Roasted Bell Peppers,Dry Goods,6# CANS,24,CAN,6,OZ-wt,360,0.98,30.06,2,
24,Chopped Clams,Dry Goods,12x48oz CANS,31,CAN,12,EA,12,1,83.6,2,
25,Tomato Juice,Dry Goods,12x48oz CANS,31,CAN,12,EA,12,1,20.71,1,
26,Clam Juice,Dry Goods,12x48oz CANS,64,CAN,12,EA,12,1,28.86,2,
30,Balsamic Vinegar,Dry Goods,5 LITER,1.5,JUG,1,OZ-wt,169.07,1,17.89,0,12/28/2016 11:52:40 AM
31,Tapatio,Dry Goods,12 EACH,4,BOTTLE,12,EA,12,1,17.74,0,
32,Sriracha,Dry Goods,12 EACH,2,BOTTLE,12,EA,12,1,21.38,0,
33,Chicken Broth,Dry Goods,4 EA,3,BOTTLE,4,,,0,40,0,
34,Canola Oil,Dry Goods,30lb JUG,0.3,JUG,1,OZ-wt,800,0.99,20.44,1,
35,Canola Oil Bottles,Dry Goods,EACH,3,BOTTLE,18,,,0,20.01,0,
36,Olive Oil,Dry Goods,6 GAL,8.75,JUG,6,OZ-fl,768,0.99,52.59,3,
37,Flour,Dry Goods,25lb,0.75,BAG,1,CUP,66.67,1,6.67,1,
38,Sugar (BROWN),Dry Goods,Sugar (Brown),18,QUART,16,CUP,62.5,1,13.99,0,12/28/2016 11:52:40 AM
40,Tahini,Dry Goods,40lbs,1.4,LB,40,OZ-wt,640,0.98,60.69,1,
41,Kalamata Olives,Dry Goods,EACH,10,JAR,1,OZ-wt,64.8,1,46.49,1,
42,Lemon Juice,Dry Goods,1 Gal,3.9,GAL,1,OZ-wt,128,1,10.2,1,
43,Dried Basil,Herbs,24oz,50.6,OZ-wt,24,TBL,274.29,1,7.71,0,
44,Thyme,Herbs,2lbs,50.6,OZ-wt,32,TBL,243.81,1,13.3,0,
45,Oregano,Herbs,1lb,23.6,OZ-wt,16,TBL,232.73,1,10.3,0,12/28/2016 11:52:40 AM
46,Cumin,Herbs,4.5lbs,90,OZ-wt,72,TBL,360,1,29.37,0,
47,Cayenne Pepper,Herbs,,62.2,OZ-wt,0,TBL,1,1,0,0,
48,Pepper,Herbs,5lbs,33,OZ-wt,80,TBL,312.2,1,45,0,12/28/2016 11:52:40 AM
49,Salt,Herbs,25lbs,0.5,Container,8.9,TBL,615,1,5.12,0,
50,Chili Powder,Herbs,20oz,62.6,OZ-wt,20,TBL,78.05,1,5.49,0,
51,Paprika,Herbs,8.5oz,10.2,OZ-wt,8.5,TBL,36.96,1,3.79,0,12/28/2016 11:52:40 AM
