Id,Name,Count,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,9,Dairy,CASE 30lb,5lb BAG,6,OZ-wt,480,1,70.89,1,,0
1,Cheddar,4,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,46.89,1,,0
2,Pepper Jack,0,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,46.75,1,,0
3,Feta,2.25,Dairy,10lb CASE,5lb BAG,1,OZ-wt,160,100,28,1,,0
4,Butter,19,Dairy,CASE 30lb,1lb,30,OZ-wt,480,1,87.5,1,,0
5,Sour Cream,2,Dairy,2 x 5lb,5lb BUCKET,2,OZ-wt,160,95,12.5,1,,0
6,Heavy Cream,2,Dairy,1/2 Gallon,1/2 GALLON,1,CUP,48,1000000,5.99,4,,6
8,Eggs,2.5,Dairy,15 DOZEN,TRAY,6,EA,180,95,16.98,1,,0
9,Whole Milk,28,Dairy,4 GAL,GALLON,4,CUP,32,100,14.5,2,,0
11,Pesto,2,Dairy,2/22lb,BAG,2,OZ-wt,4,970000,106,1,,0
13,Pizza Sauce,5,Grocery,6# CANS,CAN,6,EA,6,100,20.95,1,,0
14,Stewed Tomatoes,7,Grocery,6# CANS,CAN,6,EA,6,100,14.97,1,,0
18,Artichoke Hearts,5,Grocery,6# CANS,CAN,6,OZ-wt,324,10000,43.95,2,,2
19,Mayonnaise,7,Grocery,4 GAL,JUG,4,EA,4,10000,23.89,1,,0
20,BBQ Sauce,4,Grocery,CS 39.5lbs,JUG,4,OZ-wt,632,9800,42.34,1,,0
21,Macaroni,5,Grocery,20lb CASE,BAG,2,EA,320,241,17.69,2,,0
23,Roasted Bell Peppers,6,Grocery,6# CANS,CAN,6,OZ-wt,360,98,37.44,1,,0
24,Chopped Clams,35,Grocery,12x48oz CANS,CAN,12,EA,12,100,87.27,2,,2
25,Tomato Juice,22,Grocery,12x48oz CANS,CAN,12,EA,12,100,15.79,2,,0
26,Clam Juice,42,Grocery,12x48oz CANS,CAN,12,EA,12,100,31.18,3,,2
30,Balsamic Vinegar,2.4,Grocery,2 x 5 Liter,JUG,2,OZ-wt,169.07,100,17.95,1,,2
31,Tapatio,10,Grocery,EA,BOTTLE,12,EA,12,10000,11.5,1,,2
32,Sriracha,6,Grocery,12x17oz,BOTTLE,12,EA,12,100,25.89,1,,0
33,Chicken Broth,6,Grocery,4x32oz,BOTTLE,4,OZ-wt,1,100,45.13,1,,0
34,Canola Oil,0.7,Grocery,35lb JUG,JUG,1,OZ-wt,800,99,23.17,1,,0
36,Olive Oil,9.5,Grocery,6 GAL,JUG,6,OZ-fl,768,99,50.8,1,,0
38,Sugar (BROWN),26,Grocery,25lb,QUART,16,CUP,62.5,10000,13.88,0,,6
40,Tahini,0.9,Grocery,40lbs,LB,1,OZ-wt,640,9800,60.09,1,,2
41,Kalamata Olives,7,Grocery,6x4.4lbs,JAR,6,OZ-wt,64.8,10000,63.94,2,,2
42,Lemon Juice,6.25,Grocery,1 Gal,GAL,4,OZ-wt,128,100,16.69,1,,2
43,Dried Basil,61.2,Herbs,12oz,OZ-wt,12,TBL,274.29,100,11.91,0,,0
44,Thyme,96,Herbs,1lb,OZ-wt,16,TBL,243.81,100,31.1,1,,0
45,Oregano,47.4,Herbs,1.75,OZ-wt,28,TBL,232.73,100,16.79,0,,0
46,Cumin,145.4,Herbs,4.5lbs,OZ-wt,80,TBL,360,100,17.79,1,,2
47,Cayenne Pepper,56.2,Herbs,5lbs,OZ-wt,80,TBL,1,1,17.45,0,,0
48,Pepper,63.4,Herbs,5lbs,OZ-wt,80,TBL,312.2,100,43.72,1,,2
49,Salt,0.9,Herbs,EA,Container,1,TBL,615,100,5.9,1,,0
50,Chili Powder,82.4,Herbs,6lbs,OZ-wt,96,TBL,78.05,100,24.41,1,,2
