Id,LastVendorId,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
0,0,Mozzarella,Dairy,CASE 30lb,7,5lb BAG,6,OZ-wt,480,1,73.95,1,
1,0,Cheddar,Dairy,CASE 20lb,2,5lb BAG,4,OZ-wt,320,1,48.23,2,
2,0,Pepper Jack,Dairy,CASE 20lb,1,5lb BAG,4,OZ-wt,320,1,45.25,1,
3,2,Feta,Dairy,33lbs,1.75,5lb BAG,1,OZ-wt,160,100,54.17,1,
4,0,Butter,Dairy,CASE 30lb,18,1lb,30,OZ-wt,480,1,91.85,1,
5,0,Sour Cream,Dairy,2 x 5lb,1,5lb BUCKET,2,OZ-wt,160,95,13.04,1,
6,6,Heavy Cream,Dairy,1/2 Gallon,3,1/2 GALLON,1,CUP,48,1000000,5.99,4,
8,0,Eggs,Dairy,15 DOZEN,3,TRAY,6,EA,180,95,16.98,1,
9,6,Whole Milk,Dairy,2 GALLON,28,GALLON,2,CUP,32,100,5.39,16,
11,0,Pesto,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,106,1,
13,0,Pizza Sauce,Grocery,6# CANS,2,CAN,6,EA,6,100,21.4,1,
14,0,Stewed Tomatoes,Grocery,6# CANS,10,CAN,6,EA,6,100,15.79,1,
18,2,Artichoke Hearts,Grocery,6# CANS,13,CAN,6,OZ-wt,324,10000,43.83,3,
19,0,Mayonnaise,Grocery,4 GAL,4,JUG,4,EA,4,10000,24.95,1,
20,0,BBQ Sauce,Grocery,CS 39.5lbs,4,JUG,4,OZ-wt,632,9800,42.79,1,
21,2,Macaroni,Grocery,2lb,7,BAG,2,EA,320,241,13.32,2,
23,2,Roasted Bell Peppers,Grocery,6# CANS,24,CAN,6,OZ-wt,360,98,29.95,2,
24,2,Chopped Clams,Grocery,12x48oz CANS,43,CAN,12,EA,12,100,93.95,3,
25,0,Tomato Juice,Grocery,12x48oz CANS,25,CAN,12,EA,12,100,15.79,1,
26,2,Clam Juice,Grocery,12x48oz CANS,40,CAN,12,EA,12,100,33.99,1,
30,2,Balsamic Vinegar,Grocery,2 x 5 Liter,1.75,JUG,2,OZ-wt,169.07,100,17.95,1,
31,2,Tapatio,Grocery,EA,7,BOTTLE,12,EA,12,10000,12.69,1,
32,2,Sriracha,Grocery,12x17oz,11,BOTTLE,12,EA,12,100,19.13,1,
33,0,Chicken Broth,Grocery,4x32oz,4,BOTTLE,4,OZ-wt,1,100,45.13,1,
34,0,Canola Oil,Grocery,35lb JUG,0.4,JUG,1,OZ-wt,800,99,24.05,1,
36,0,Olive Oil,Grocery,6 GAL,1.5,JUG,6,OZ-fl,768,99,50.8,1,
38,6,Sugar (BROWN),Grocery,25lb,15.5,QUART,16,CUP,62.5,10000,13.88,0,
40,2,Tahini,Grocery,40lbs,1.5,LB,1,OZ-wt,640,9800,60.09,1,
41,2,Kalamata Olives,Grocery,6x4.4lbs,10,JAR,6,OZ-wt,64.8,10000,63.94,2,
42,2,Lemon Juice,Grocery,1 Gal,7.5,GAL,4,OZ-wt,128,100,16.69,1,
43,0,Dried Basil,Herbs,12oz,54.6,OZ-wt,12,TBL,274.29,100,11.91,0,
