Id,Name,Category,CountUnit,RecipeUnit,RecipeUnitConversion,PurchasedUnit,Count,Conversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,5lb BAG,OZ-wt,480,CASE 30lb,3,6,1,73.95,1,,0
1,Cheddar,Dairy,5lb BAG,OZ-wt,320,CASE 20lb,6,4,1,48.23,2,,0
2,Pepper Jack,Dairy,5lb BAG,OZ-wt,320,CASE 20lb,4,4,1,45.25,1,,0
3,Feta,Dairy,5lb BAG,OZ-wt,160,33lbs,2.25,1,100,54.17,1,,2
4,Butter,Dairy,1lb,OZ-wt,480,CASE 30lb,14,30,1,91.85,1,,0
5,Sour Cream,Dairy,5lb BUCKET,OZ-wt,160,2 x 5lb,1.5,2,95,13.04,1,,0
6,Heavy Cream,Dairy,1/2 GALLON,CUP,48,1/2 Gallon,2.5,1,1000000,5.99,4,,6
8,Eggs,Dairy,TRAY,EA,180,15 DOZEN,1.125,6,95,16.98,1,,0
9,Whole Milk,Dairy,GALLON,CUP,32,2 GALLON,18,2,100,5.39,16,,6
11,Pesto,Dairy,BAG,OZ-wt,4,2/22lb,1,2,970000,106,1,,0
13,Pizza Sauce,Grocery,CAN,EA,6,6# CANS,5,6,100,21.4,1,,0
14,Stewed Tomatoes,Grocery,CAN,EA,6,6# CANS,5,6,100,15.79,1,,0
18,Artichoke Hearts,Grocery,CAN,OZ-wt,324,6# CANS,10,6,10000,43.83,3,,2
19,Mayonnaise,Grocery,JUG,EA,4,4 GAL,4,4,10000,24.95,1,,0
20,BBQ Sauce,Grocery,JUG,OZ-wt,632,CS 39.5lbs,3,4,9800,42.79,1,,0
21,Macaroni,Grocery,BAG,EA,320,2lb,9,2,241,13.32,2,,2
23,Roasted Bell Peppers,Grocery,CAN,OZ-wt,360,6# CANS,45,6,98,29.95,2,,2
24,Chopped Clams,Grocery,CAN,EA,12,12x48oz CANS,47,12,100,93.95,3,,2
25,Tomato Juice,Grocery,CAN,EA,12,12x48oz CANS,21,12,100,15.79,1,,0
26,Clam Juice,Grocery,CAN,EA,12,12x48oz CANS,42,12,100,33.99,1,,2
30,Balsamic Vinegar,Grocery,JUG,OZ-wt,169.07,2 x 5 Liter,1.5,2,100,17.95,1,,2
31,Tapatio,Grocery,BOTTLE,EA,12,EA,15,12,10000,12.69,1,,2
32,Sriracha,Grocery,BOTTLE,EA,12,12x17oz,6,12,100,19.13,1,,2
33,Chicken Broth,Grocery,BOTTLE,OZ-wt,1,4x32oz,2,4,100,45.13,1,,0
34,Canola Oil,Grocery,JUG,OZ-wt,800,35lb JUG,0.5,1,99,24.05,1,,0
36,Olive Oil,Grocery,JUG,OZ-fl,768,6 GAL,6,6,99,50.8,2,,0
38,Sugar (BROWN),Grocery,QUART,CUP,62.5,25lb,8,16,10000,13.88,0,,6
40,Tahini,Grocery,LB,OZ-wt,640,40lbs,1.25,1,9800,60.09,1,,2
41,Kalamata Olives,Grocery,JAR,OZ-wt,64.8,6x4.4lbs,10,6,10000,63.94,2,,2
42,Lemon Juice,Grocery,GAL,OZ-wt,128,1 Gal,8.5,4,100,16.69,1,,2
43,Dried Basil,Herbs,OZ-wt,TBL,274.29,12oz,49.6,12,100,11.91,0,,0
44,Thyme,Herbs,OZ-wt,TBL,243.81,2 lbs,134,32,100,13.33,2,,2
45,Oregano,Herbs,OZ-wt,TBL,232.73,1.5lbs,33,24,100,13.88,1,,2
46,Cumin,Herbs,OZ-wt,TBL,360,4.5lbs,133.4,80,100,17.79,1,,2
47,Cayenne Pepper,Herbs,OZ-wt,TBL,1,5lbs,53.8,80,1,17.45,0,,0
48,Pepper,Herbs,OZ-wt,TBL,312.2,5lbs,61.8,80,100,42.94,2,,2
49,Salt,Herbs,Container,TBL,615,EA,1,1,100,5.9,1,,0
50,Chili Powder,Herbs,OZ-wt,TBL,78.05,6lbs,217.4,96,100,24.41,2,,2
51,Paprika,Herbs,OZ-wt,TBL,36.96,5lbs,88.6,80,1E+08,16.65,1,,2
54,Yellow Onions,Produce,BAG,OZ-wt,800,50lb,1,1,85,13.76,2,,0
55,Red Onions,Produce,BAG,OZ-wt,400,25lb,0.5,1,8500,13.95,1,,0
56,Potatoes,Produce,1/2 CASE,OZ-wt,800,50lb,1.25,1,850000,15.95,1,,0
57,Spinach,Produce,BAG,OZ-wt,160,4x2.5lb,2,4,99,15.79,1,,0
58,Mixed Greens,Produce,BAG,OZ-wt,48,3lb,0,1,9800,5.99,1,,0
59,Mushrooms,Produce,FLAT,OZ-wt,160,10lb CASE,2,1,95,18.95,4,,0
60,Cucumbers,Produce,CASE,OZ-wt,420,36 COUNT,0.9,1,950000,14.77,1,,2
61,Tomatoes,Produce,CASE,OZ-wt,400,25lb,0.25,1,97,14.49,1,,0
62,Avocado,Produce,EACH,EA,24,60 COUNT,16,60,10000,49.95,1,,0
63,Celery,Produce,1/2 CASE,BUNCH,12,24 COUNT,22,24,100,24.89,1,,0
64,Fresh Basil,Produce,BAG,OZ-wt,16,1lb,2,1,65,3.95,1,,2
65,Jalapenos,Produce,BAG,OZ-wt,32,40lbs,0.5,1,95,29.95,1,,0
66,Pineapple,Produce,EACH,OZ-wt,44,6 COUNT,5,6,100,16.99,1,,0
71,Garlic Peeled,Produce,JAR,OZ-wt,114.29,5lbs,0,1,98,17.95,1,,0
72,Chicken Breast,Poultry,CASE,OZ-wt,640,40lb CASE,0,1,85,65.79,3,,0
73,Ground Beef,Meats,LOG,EA,2,20lb CASE,5,2,10000,45.8,5,,0
74,Italian Sausage,Meats,BAG,OZ-wt,160,20lb CASE,9,4,91,46.95,2,,0
75,Bacon Bits,Meats,BAG,OZ-wt,160,10lb CASE,2,2,100,53.99,2,,0
77,Whole Wheat,Bread,EACH,EA,1,EA,88,1,1000000,0.76,0,,7
78,Biopack #4,Paper Goods,Stack,Each,40,Case,16,4,4E+07,39.55,4,,3
79,Water Cups,Paper Goods,Sleeve,1,2500,2500,11,25,10000,73.7,1,,3
80,Soufle Lids,Paper Goods,Sleeve,1,1,2500,22,25,100,26.35,1,,3
81,Spoons,Paper Goods,Sleeve,1,1,1000,13,10,10000,7,1,,3
82,Forks,Paper Goods,Sleeve,1,1,1000,9,10,10000,20.59,1,,3
85,Wax Paper Sheets,Paper Goods,Stack,1,1,6000,7,6,10000,54.65,1,,3
86,Small To-Go Bags,Paper Goods,Case,1,1,500,1,1,100,14.88,1,,3
87,Foil Roll,Paper Goods,1,1,1,ROLL,1,1,1E+08,17.99,1,,2
89,To-Go Soup Bowls (16oz),Paper Goods,Sleeve,1,1,500,8,10,1000000,48.78,1,,3
90,Paper Towels,Paper Goods,Sleeve,1,1,4000,14,16,1E+08,16.11,1,,3
91,To-Go Soup Lids,Paper Goods,Sleeve,1,1,500,12,10,1E+08,42.68,1,,3
92,To-Go Soup Bowls (12oz),Paper Goods,Sleeve,1,1,500,4,10,10000,42.68,1,,3
95,Napkins,Paper Goods,Stack,1,1,6000,5,12,10000,45.46,1,,3
97,Dried Black Beans,Grocery,Quart,3.5,1,50lbs,12,27.414,100,41.35,1,,0
99,Cinnamon,Herbs,LB,OZ-wt,1,,83.4,80,1,16.14,1,,2
100,Passion Syrup,Beverage,5.5 lbs,CUP,7.65,6/5.5lbs,25.25,6,100,60,0,,5
101,Allspice,Herbs,OZ-wt,TBL,1,1lb,28,16,1000000,8.02,1,,2
102,Black Tea,Beverage,BAG,CUP,5.88,(20 x 600g) CASE,23,20,100,110,0,,5
104,Honey,Beverage,JAR,CUP,6.96,6/5lbs,3,6,100,88.5,0,,6
106,24 Oz Cups,Paper Goods,Sleeve,Each,1,600 COUNT,6,12,10000,58.86,1,,3
107,Dried Pinto Beans,Grocery,Quart,8,8,25lb,22,14.47,10000,28.69,1,,0
108,Grill Bricks,Janitorial,BRICK,1,1,12 EA,2,12,10000,13.2,1,,3
109,Sanitizer,Janitorial,GALLON,1,1,4 GAL,2,4,100,37.87,1,,2
110,Poly Gloves,Paper Goods,BOX,1,1,2000,15,4,100,15.8,1,,3
111,Sourdough,Bread,EACH,1,1,EA,204,1,100,0.76,0,,7
112,Dried Garbanzo Beans,Grocery,QUART,LB,1.877,25lb,29,13.318,1000000,23.8,2,,2
113,Crushed Red Pepper,Herbs,OZ-wt,TBL,1,5lbs,59,80,1000000,17.15,1,,2
114,Sugar (CANE),Beverage,QUART,CUP,1,EA,4,16,1E+12,30,0,,6
115,16/24 Oz Lids,Paper Goods,Sleeve,1,1,1000 CASE,9,10,100,23.19,1,,3
116,Straws,Paper Goods,BOX,1,1,2000,3,4,100,10.06,1,,3
117,16 Oz Cups,Paper Goods,Sleeve,1,1,1000 CASE,8,20,100,54.75,1,,3
118,Large To-Go Bags,Paper Goods,BAG,1,1,500,0.5,1,100,52.81,0,,3
119,Soufle Cups,Paper Goods,Sleeve,1,1,2500,10,25,100,26.35,1,,3
120,Ceramawrap,Paper Goods,EACH,1,1,2000,1,1,100,10.26,1,,3
121,Die-Cut To-Go Bags,Paper Goods,CASE,1,1,500,0.9,1,100,55.35,1,,3
122,Garbage Bags,Janitorial,CASE,1,1,250,1.5,1,100,28.62,1,,3
123,Detergent,Janitorial,GALLON,1,1,4 GAL,3.25,4,100,16.2,1,,3
124,De-Greaser,Janitorial,GALLON,1,1,1 Gal,3,4,100,19.7,1,,2
125,Bleach,Janitorial,GALLON,1,1,4 GAL,4.2,4,100,8,1,,3
126,Steel Wool,Janitorial,Sleeve,1,1,12 COUNT,9,12,100,4.77,1,,3
127,Fabuloso,Janitorial,1 GAL,1,1,3 GAL,3,3,,24.26,0,,2
128,Bay Leaves,Herbs,OZ-wt,OZ-wt,1,8oz,34,8,,11.91,0,,2
129,Lemonade Base,Beverage,GALLON,1,16,EA,11.5,4,,20.58,0,,2
130,Pink Lemonade Base,Beverage,GALLON,1,1,4 GAL,10.75,4,,22.96,0,,2
