Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
0,Mozzarella,3,Dairy,CASE 30lb,3,5lb BAG,6,OZ-wt,80,1,60.576,,9
1,Cheddar,5,Dairy,CASE 20lb,0,5lb BAG,4,OZ-wt,80,1,41.93,,9
2,Pepper Jack,0,Dairy,CASE 20lb,3,5lb BAG,4,OZ-wt,80,1,48.83,,0
3,Feta,2,Dairy,33lbs,2,5lb BAG,1,OZ-wt,160,1,55.39,,2
4,Butter,1,Dairy,CASE 30lb,23,1lb,30,OZ-wt,16,1,83.37,,9
5,Sour Cream,0,Dairy,2 x 5lb,1,5lb BUCKET,2,OZ-wt,160,0.95,13.04,,0
6,Heavy Cream,3,Dairy,1/2 Gallon,2.5,1/2 GALLON,1,CUP,48,1,6.2036,,9
8,Eggs,0,Dairy,15 DOZEN,6,TRAY,6,EA,180,95,16.57,,9
9,Whole Milk,28,Dairy,2 GALLON,20,GALLON,2,CUP,16,100,5.49,,6
11,Pesto,0,Dairy,2/22lb,3,BAG,2,OZ-wt,4,970000,106,,0
13,Pizza Sauce,1,Grocery,6# CANS,5,CAN,6,EA,6,100,21.45,,0
14,Stewed Tomatoes,1,Grocery,6# CANS,5,CAN,6,EA,6,100,15.47,,0
18,Artichoke Hearts,3,Grocery,6# CANS,18,CAN,6,OZ-wt,324,10000,43.83,,2
19,Mayonnaise,1,Grocery,4 GAL,4,JUG,4,EA,4,10000,25.75,,0
20,BBQ Sauce,0,Grocery,CS 39.5lbs,3,JUG,4,OZ-wt,632,9800,33.88,,2
21,Macaroni,0,Grocery,2lb,3,BAG,2,EA,160,2.41,13.32,,2
23,Roasted Bell Peppers,6,Grocery,6# CANS,28,CAN,6,OZ-wt,360,98,29.03,,2
24,Chopped Clams,3,Grocery,12x48oz CANS,43,CAN,12,EA,12,100,91.55,,2
25,Tomato Juice,0,Grocery,12x48oz CANS,8,CAN,12,EA,12,100,27.19,,9
26,Clam Juice,2,Grocery,12x48oz CANS,35,CAN,12,EA,12,100,31.37,,2
30,Balsamic Vinegar,0,Grocery,2 x 5 Liter,2.4,JUG,2,OZ-wt,169.07,100,17.95,,2
31,Tapatio,0,Grocery,EA,12,BOTTLE,12,EA,12,10000,18.99,,0
32,Sriracha,1,Grocery,12x17oz,14,BOTTLE,12,EA,12,100,19.13,,2
33,Chicken Broth,0,Grocery,4x32oz,4,BOTTLE,4,OZ-wt,1,100,35.99,,2
34,Canola Oil,0,Grocery,35lb JUG,1,JUG,1,OZ-wt,800,99,24.55,,0
36,Olive Oil,1,Grocery,6 GAL,5.25,JUG,6,OZ-fl,128,99,50.8,,0
38,Sugar (BROWN),0,Grocery,25lb,8,QUART,16,CUP,62.5,10000,13.88,,6
40,Tahini,0,Grocery,40lbs,0.7,LB,1,OZ-wt,640,9800,60.09,,2
41,Kalamata Olives,2,Grocery,6x4.4lbs,12,JAR,6,OZ-wt,64.8,10000,63.94,,2
42,Lemon Juice,1,Grocery,1 Gal,8,GAL,4,OZ-wt,128,100,16.69,,2
43,Dried Basil,1,Herbs,12oz,72.4,OZ-wt,12,TBL,274.29,100,9.81,,2
44,Thyme,2,Herbs,2 lbs,110.2,OZ-wt,32,TBL,243.81,100,13.33,,2
45,Oregano,1,Herbs,1.5lbs,137.2,OZ-wt,24,TBL,232.73,100,13.88,,2
46,Cumin,0,Herbs,4.5lbs,104.4,OZ-wt,80,TBL,360,100,17.79,,2
47,Cayenne Pepper,0,Herbs,5lbs,47.6,OZ-wt,80,TBL,1,1,17.45,,0
48,Pepper,2,Herbs,5lbs,317.4,OZ-wt,80,TBL,312.2,100,33.9,,2
49,Salt,1,Herbs,EA,0.9,Container,1,TBL,615,100,5.9,,0
50,Chili Powder,1,Herbs,6lbs,176,OZ-wt,96,TBL,78.05,100,24.41,,2
51,Paprika,1,Herbs,5lbs,131.2,OZ-wt,80,TBL,36.96,1E+08,16.65,,2
54,Yellow Onions,0,Produce,50lb,8,BAG,1,OZ-wt,800,85,13,,1
55,Red Onions,0,Produce,25lb,0.75,BAG,1,OZ-wt,400,8500,9.15,,1
56,Potatoes,0,Produce,50lb,1,1/2 CASE,1,OZ-wt,800,850000,12.7,,1
57,Spinach,2,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,13.65,,1
58,Mixed Greens,0,Produce,3lb,0,BAG,1,OZ-wt,48,9800,7.8,,1
59,Mushrooms,7,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,19.65,,1
60,Cucumbers,0,Produce,36 COUNT,0.4,CASE,1,OZ-wt,420,950000,17.75,,1
61,Tomatoes,2,Produce,25lb,1,CASE,1,OZ-wt,400,0.95,15.3,,1
62,Avocado,1,Produce,60 COUNT,108,EACH,60,EA,24,10000,20.77,,2
63,Celery,0,Produce,24 COUNT,12,1/2 CASE,24,BUNCH,12,100,28.35,,1
64,Fresh Basil,2,Produce,1lb,0.25,BAG,1,OZ-wt,16,65,8.3,,1
66,Pineapple,1,Produce,6 COUNT,0,EACH,6,OZ-wt,44,100,16.99,,10
71,Garlic Peeled,0,Produce,5lbs,1,JAR,1,OZ-wt,114.29,98,18.63,,10
72,Chicken Breast,0,Poultry,40lb CASE,0,CASE,1,OZ-wt,640,85,79,,8
73,Ground Beef,0,Meats,20lb CASE,3,LOG,2,EA,2,10000,25.42,,2
74,Italian Sausage,0,Meats,10lb CASE,4,BAG,2,OZ-wt,160,91,17.54,,2
75,Bacon Bits,3,Meats,10lb CASE,2,BAG,2,OZ-wt,80,1,83.48,,8
77,Whole Wheat,0,Bread,EA,40,EACH,1,EA,1,1000000,0.76,,7
78,Biopack #4,0,Paper Goods,Case,10,Stack,4,Each,40,4E+07,79,,8
79,Water Cups,0,Paper Goods,2500,25,Sleeve,25,1,2500,10000,57.52,,2
80,Soufle Lids,1,Paper Goods,2500,26,Sleeve,25,1,1,100,26.35,,3
81,Spoons,1,Paper Goods,1000,5.5,Sleeve,10,1,1,10000,7,,3
82,Forks,1,Paper Goods,1000,4.5,Sleeve,10,1,1,10000,20.59,,3
85,Wax Paper Sheets,1,Paper Goods,6000,6,Stack,6,1,1,10000,54.65,,3
86,Small To-Go Bags,0,Paper Goods,500,0.25,Case,1,1,1,100,14.88,,3
87,Foil Roll,0,Paper Goods,ROLL,4,1,1,1,1,1E+08,17.99,,2
