Id,Date
0,12/29/2016 17:22
1,1/11/2017 17:22
2,1/17/2017 17:22
3,1/24/2017 17:22
4,2/13/2017 12:00:00 AM
5,3/15/2017 5:19:48 PM
6,3/21/2017 10:09:38 PM
7,3/27/2017 12:00:00 AM
8,4/17/2017 12:00:00 AM
9,5/4/2017 11:11:09 AM
10,5/8/2017 12:00:00 AM
11,5/15/2017 9:59:29 AM
12,5/22/2017 12:00:00 AM
13,5/29/2017 12:00:00 AM
14,6/5/2017 12:00:00 AM
15,7/3/2017 12:00:00 AM
16,7/9/2017 8:56:54 PM
17,7/13/2017 4:47:20 PM
18,7/24/2017 9:37:51 AM
19,7/31/2017 8:38:49 AM
20,9/4/2017 10:15:24 AM
21,8/28/2017 12:00:00 AM
22,9/11/2017 12:00:00 AM
23,9/18/2017 12:00:00 AM
24,10/30/2017 12:00:00 AM
25,11/6/2017 12:00:00 AM
26,11/13/2017 1:21:35 PM
27,11/20/2017 12:30:29 PM
28,1/15/2018 12:00:00 AM
29,1/22/2018 12:00:00 AM
30,1/29/2018 2:16:56 PM
31,2/5/2018 12:00:00 AM
32,2/12/2018 12:00:00 AM
33,2/13/2018 12:00:00 AM
34,2/15/2018 12:00:00 AM
35,2/19/2018 12:00:00 AM
36,2/20/2018 12:00:00 AM
37,2/26/2018 12:00:00 AM
38,2/28/2018 12:00:00 AM
39,3/5/2018 10:30:08 AM
40,3/12/2018 12:00:00 AM
