Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,5lb BAG,6,OZ-wt,80,4,1,55.99,1,3/8/2018 12:00:00 AM,0
1,Cheddar,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,80,5,1,42.04,2,3/8/2018 12:00:00 AM,0
2,Pepper Jack,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,80,4,1,43.9,1,3/8/2018 12:00:00 AM,0
3,Feta,Dairy,33lbs,5lb BAG,1,OZ-wt,160,0.7,1,49.74,2,3/2/2018 12:00:00 AM,2
4,Butter,Dairy,CASE 30lb,1lb,30,OZ-wt,16,26,1,85.88,1,3/8/2018 12:00:00 AM,0
5,Sour Cream,Dairy,2 x 5lb,GALLON,2,OZ-wt,16,1,1,13.99,1,3/8/2018 12:00:00 AM,0
6,Heavy Cream,Dairy,1/2 Gallon,1/2 GALLON,1,CUP,8,6,1,5.99,3,2/2/2018 12:40:38 PM,6
8,Eggs,Dairy,15 DOZEN,TRAY,6,EA,180,3.1,0.95,31.89,1,2/26/2018 11:53:10 AM,0
9,Whole Milk,Dairy,2 GALLON,GALLON,2,CUP,16,22,1,4.99,15,3/2/2018 12:00:00 AM,6
11,Pesto,Dairy,2/22lb,BAG,2,OZ-wt,1,2,1,107.99,2,2/26/2018 11:53:10 AM,0
13,Pizza Sauce,Grocery,6# CANS,CAN,6,EA,6,3,100,22,1,3/8/2018 12:00:00 AM,0
14,Stewed Tomatoes,Grocery,6# CANS,CAN,6,EA,1,6,1,15.79,1,3/8/2018 12:00:00 AM,0
18,Artichoke Hearts,Grocery,6# CANS,CAN,6,OZ-wt,324,0,10000,62.57,1,3/5/2018 12:00:00 AM,0
19,Mayonnaise,Grocery,4 GAL,JUG,4,EA,1,7,1,32.15,1,3/11/2018 1:25:25 PM,10
20,BBQ Sauce,Grocery,CS 39.5lbs,JUG,4,OZ-wt,632,8,9800,48.99,1,3/5/2018 10:48:08 AM,2
21,Macaroni,Grocery,20lb CASE,BAG,2,EA,160,4,2.41,19.82,4,3/8/2018 12:00:00 AM,0
23,Roasted Bell Peppers,Grocery,6# CANS,CAN,6,OZ-wt,63.5,89,1,37.94,1,3/5/2018 10:48:08 AM,2
24,Chopped Clams,Grocery,12x48oz CANS,CAN,12,EA,1,5,1,91.55,1,3/1/2018 12:00:00 AM,0
25,Tomato Juice,Grocery,12x48oz CANS,CAN,12,EA,1,24,1,15.79,3,3/8/2018 12:00:00 AM,0
26,Clam Juice,Grocery,12x48oz CANS,CAN,12,EA,1,2,1,31.37,0,,0
30,Balsamic Vinegar,Grocery,2 x 5 Liter,JUG,2,OZ-wt,169.07,1.5,1,18.5,1,2/11/2018 12:00:00 AM,2
31,Tapatio,Grocery,EA,BOTTLE,12,EA,12,13,1,12.84,1,3/2/2018 12:00:00 AM,2
32,Sriracha,Grocery,12x17oz,BOTTLE,12,EA,12,11,1,18.88,1,3/2/2018 12:00:00 AM,2
33,Chicken Broth,Grocery,4x32oz,BOTTLE,4,OZ-wt,1,0,1,39,0,,2
34,Canola Oil,Grocery,35lb JUG,JUG,1,OZ-wt,800,1.1,99,25.25,1,3/8/2018 12:00:00 AM,0
36,Olive Oil,Grocery,6 GAL,JUG,6,OZ-fl,128,8,1,49.95,1,3/8/2018 12:00:00 AM,0
38,Sugar (BROWN),Grocery,25lb,QUART,16,CUP,62.5,8,1,13.88,0,12/28/2016 11:52,6
40,Tahini,Grocery,40lbs,Container,1,OZ-wt,640,1,1,58.45,1,3/2/2018 12:00:00 AM,2
41,Kalamata Olives,Grocery,6x4.4lbs,JAR,6,OZ-wt,64.8,4,1,47.18,1,3/2/2018 12:00:00 AM,2
42,Lemon Juice,Grocery,4 GAL,GAL,4,OZ-wt,128,0,1,16.72,1,2/15/2018 2:38:32 PM,2
43,Dried Basil,Herbs,12oz,OZ-wt,24,TBL,274.29,47.4,1,9.81,1,12/11/2017 12:00:00 AM,2
