02/15/18 - 10:55:01 - INFO - Application starting
02/15/18 - 10:55:01 - INFO - Loading models
02/15/18 - 10:55:04 - INFO - Models loaded
02/15/18 - 10:55:12 - INFO - Upating BreadOrder: 298
02/15/18 - 10:55:13 - INFO - Changed to tab: Orders
02/15/18 - 10:55:13 - INFO - Upating BreadOrder: 296
02/15/18 - 10:55:14 - INFO - Upating BreadOrder: 295
02/15/18 - 10:55:14 - INFO - Upating BreadOrder: 297
02/15/18 - 10:55:15 - INFO - Upating DailySale: 0
02/15/18 - 10:55:15 - INFO - Upating DailySale: 1
02/15/18 - 10:55:15 - INFO - Upating DailySale: 2
02/15/18 - 10:55:15 - INFO - Upating DailySale: 3
02/15/18 - 10:55:15 - INFO - Upating DailySale: 4
02/15/18 - 10:55:15 - INFO - Upating DailySale: 5
02/15/18 - 10:55:15 - INFO - Upating DailySale: 6
02/15/18 - 10:55:15 - INFO - Upating DailySale: 7
02/15/18 - 10:55:15 - INFO - Upating DailySale: 8
02/15/18 - 10:55:15 - INFO - Upating DailySale: 9
02/15/18 - 10:55:15 - INFO - Upating DailySale: 10
02/15/18 - 10:55:15 - INFO - Upating DailySale: 11
02/15/18 - 10:55:15 - INFO - Upating DailySale: 12
02/15/18 - 10:55:15 - INFO - Upating DailySale: 13
02/15/18 - 10:55:15 - INFO - Upating DailySale: 14
02/15/18 - 10:55:15 - INFO - Upating DailySale: 15
02/15/18 - 10:55:15 - INFO - Upating DailySale: 16
02/15/18 - 10:55:15 - INFO - Upating DailySale: 17
02/15/18 - 10:55:15 - INFO - Upating DailySale: 18
02/15/18 - 10:55:15 - INFO - Upating DailySale: 19
02/15/18 - 10:55:15 - INFO - Upating DailySale: 20
02/15/18 - 10:55:15 - INFO - Upating DailySale: 21
02/15/18 - 10:55:16 - INFO - Upating DailySale: 22
02/15/18 - 10:55:16 - INFO - Upating DailySale: 23
02/15/18 - 10:55:16 - INFO - Upating DailySale: 24
02/15/18 - 10:55:16 - INFO - Upating DailySale: 25
02/15/18 - 10:55:16 - INFO - Upating DailySale: 26
02/15/18 - 10:55:16 - INFO - Upating DailySale: 27
02/15/18 - 10:55:16 - INFO - Upating DailySale: 28
02/15/18 - 10:55:16 - INFO - Upating DailySale: 29
02/15/18 - 10:55:16 - INFO - Upating DailySale: 30
02/15/18 - 10:55:16 - INFO - Upating DailySale: 31
02/15/18 - 10:55:16 - INFO - Upating DailySale: 32
02/15/18 - 10:55:16 - INFO - Upating DailySale: 33
02/15/18 - 10:55:16 - INFO - Upating DailySale: 34
02/15/18 - 10:55:16 - INFO - Upating DailySale: 35
02/15/18 - 10:55:16 - INFO - Upating DailySale: 36
02/15/18 - 10:55:16 - INFO - Upating DailySale: 37
02/15/18 - 10:55:16 - INFO - Upating DailySale: 38
02/15/18 - 10:55:16 - INFO - Upating DailySale: 39
02/15/18 - 10:55:16 - INFO - Upating DailySale: 40
02/15/18 - 10:55:16 - INFO - Upating DailySale: 41
02/15/18 - 10:55:16 - INFO - Upating DailySale: 42
02/15/18 - 10:55:16 - INFO - Upating DailySale: 43
02/15/18 - 10:55:16 - INFO - Upating DailySale: 44
02/15/18 - 10:55:16 - INFO - Upating DailySale: 45
02/15/18 - 10:55:16 - INFO - Upating DailySale: 46
02/15/18 - 10:55:16 - INFO - Upating DailySale: 47
02/15/18 - 10:55:16 - INFO - Upating DailySale: 48
02/15/18 - 10:55:16 - INFO - Upating DailySale: 49
02/15/18 - 10:55:16 - INFO - Upating DailySale: 50
02/15/18 - 10:55:16 - INFO - Upating DailySale: 51
02/15/18 - 10:55:16 - INFO - Upating DailySale: 52
02/15/18 - 10:55:16 - INFO - Upating DailySale: 53
02/15/18 - 10:55:16 - INFO - Upating DailySale: 54
02/15/18 - 10:55:16 - INFO - Upating DailySale: 55
02/15/18 - 10:55:16 - INFO - Upating DailySale: 56
02/15/18 - 10:55:16 - INFO - Upating DailySale: 57
02/15/18 - 10:55:16 - INFO - Upating DailySale: 58
02/15/18 - 10:55:16 - INFO - Upating DailySale: 59
02/15/18 - 10:55:16 - INFO - Upating DailySale: 60
02/15/18 - 10:55:16 - INFO - Upating DailySale: 61
02/15/18 - 10:55:16 - INFO - Upating DailySale: 62
02/15/18 - 10:55:16 - INFO - Upating DailySale: 63
02/15/18 - 10:55:16 - INFO - Upating DailySale: 64
02/15/18 - 10:55:17 - INFO - Upating DailySale: 65
02/15/18 - 10:55:17 - INFO - Upating DailySale: 66
02/15/18 - 10:55:17 - INFO - Upating DailySale: 67
02/15/18 - 10:55:17 - INFO - Upating DailySale: 68
02/15/18 - 10:55:17 - INFO - Upating DailySale: 69
02/15/18 - 10:55:17 - INFO - Upating DailySale: 70
02/15/18 - 10:55:17 - INFO - Upating DailySale: 71
02/15/18 - 10:55:17 - INFO - Upating DailySale: 72
02/15/18 - 10:55:17 - INFO - Upating DailySale: 73
02/15/18 - 10:55:17 - INFO - Upating DailySale: 74
02/15/18 - 10:55:17 - INFO - Upating DailySale: 75
02/15/18 - 10:55:17 - INFO - Upating DailySale: 76
02/15/18 - 10:55:17 - INFO - Upating DailySale: 77
02/15/18 - 10:55:17 - INFO - Upating DailySale: 78
02/15/18 - 10:55:17 - INFO - Upating DailySale: 79
02/15/18 - 10:55:17 - INFO - Upating DailySale: 80
02/15/18 - 10:55:17 - INFO - Upating DailySale: 81
02/15/18 - 10:55:17 - INFO - Upating DailySale: 82
02/15/18 - 10:55:17 - INFO - Upating DailySale: 83
02/15/18 - 10:55:17 - INFO - Upating DailySale: 84
02/15/18 - 10:55:17 - INFO - Upating DailySale: 85
02/15/18 - 10:55:17 - INFO - Upating DailySale: 86
02/15/18 - 10:55:17 - INFO - Upating DailySale: 87
02/15/18 - 10:55:17 - INFO - Upating DailySale: 88
02/15/18 - 10:55:17 - INFO - Upating DailySale: 89
02/15/18 - 10:55:17 - INFO - Upating DailySale: 90
02/15/18 - 10:55:17 - INFO - Upating DailySale: 91
02/15/18 - 10:55:17 - INFO - Upating DailySale: 92
02/15/18 - 10:55:17 - INFO - Upating DailySale: 93
02/15/18 - 10:55:17 - INFO - Upating DailySale: 94
02/15/18 - 10:55:17 - INFO - Upating DailySale: 95
02/15/18 - 10:55:17 - INFO - Upating DailySale: 96
02/15/18 - 10:55:17 - INFO - Upating DailySale: 97
02/15/18 - 10:55:17 - INFO - Upating DailySale: 98
02/15/18 - 10:55:17 - INFO - Upating DailySale: 99
02/15/18 - 10:55:17 - INFO - Upating DailySale: 100
02/15/18 - 10:55:17 - INFO - Upating DailySale: 101
02/15/18 - 10:55:17 - INFO - Upating DailySale: 102
02/15/18 - 10:55:17 - INFO - Upating DailySale: 103
02/15/18 - 10:55:17 - INFO - Upating DailySale: 104
02/15/18 - 10:55:17 - INFO - Upating DailySale: 105
02/15/18 - 10:55:18 - INFO - Upating DailySale: 106
02/15/18 - 10:55:18 - INFO - Upating DailySale: 107
02/15/18 - 10:55:18 - INFO - Upating DailySale: 108
02/15/18 - 10:55:18 - INFO - Upating DailySale: 109
02/15/18 - 10:55:18 - INFO - Upating DailySale: 110
02/15/18 - 10:55:18 - INFO - Upating DailySale: 111
02/15/18 - 10:55:18 - INFO - Upating DailySale: 112
02/15/18 - 10:55:18 - INFO - Upating DailySale: 113
02/15/18 - 10:55:18 - INFO - Upating DailySale: 114
02/15/18 - 10:55:18 - INFO - Upating DailySale: 115
02/15/18 - 10:55:18 - INFO - Upating DailySale: 116
02/15/18 - 10:55:18 - INFO - Upating DailySale: 117
02/15/18 - 10:55:18 - INFO - Upating DailySale: 118
02/15/18 - 10:55:18 - INFO - Upating DailySale: 119
02/15/18 - 10:55:18 - INFO - Upating DailySale: 120
02/15/18 - 10:55:18 - INFO - Upating DailySale: 121
02/15/18 - 10:55:18 - INFO - Upating DailySale: 122
02/15/18 - 10:55:18 - INFO - Upating DailySale: 123
02/15/18 - 10:55:18 - INFO - Upating DailySale: 124
02/15/18 - 10:55:18 - INFO - Changed to tab: Orders
02/15/18 - 10:55:18 - INFO - Changed to tab: Orders
02/15/18 - 10:55:18 - INFO - Upating DailySale: 125
02/15/18 - 10:55:18 - INFO - Upating DailySale: 126
02/15/18 - 10:55:18 - INFO - Upating DailySale: 127
02/15/18 - 10:55:18 - INFO - Upating DailySale: 128
02/15/18 - 10:55:18 - INFO - Upating DailySale: 129
02/15/18 - 10:55:18 - INFO - Upating DailySale: 130
02/15/18 - 10:55:18 - INFO - Upating DailySale: 131
02/15/18 - 10:55:18 - INFO - Upating DailySale: 132
02/15/18 - 10:55:18 - INFO - Upating DailySale: 133
02/15/18 - 10:55:18 - INFO - Upating DailySale: 134
02/15/18 - 10:55:18 - INFO - Upating DailySale: 135
