10/29/17 - 11:20:34 - INFO - Application starting
10/29/17 - 11:20:34 - INFO - Loading models
10/29/17 - 11:20:36 - INFO - Models loaded
10/29/17 - 11:20:43 - INFO - Upating BreadOrder: 162
10/29/17 - 11:20:43 - INFO - Upating BreadOrder: 163
10/29/17 - 11:20:43 - INFO - Upating BreadOrder: 164
10/29/17 - 11:20:44 - INFO - Upating BreadOrder: 165
10/29/17 - 11:20:44 - INFO - Upating BreadOrder: 167
10/29/17 - 11:20:44 - INFO - Upating BreadOrder: 168
10/29/17 - 11:20:45 - INFO - Upating BreadOrder: 166
10/29/17 - 11:20:57 - INFO - Changed to tab: Bread
10/29/17 - 11:21:02 - INFO - Executing BreadGuideVM#UpdateSquare
10/29/17 - 11:21:03 - INFO - Upating BreadOrder: 163
10/29/17 - 11:21:04 - INFO - Upating BreadOrder: 164
10/29/17 - 11:21:04 - INFO - Upating BreadOrder: 162
10/29/17 - 11:21:04 - INFO - Upating BreadOrder: 167
10/29/17 - 11:21:04 - INFO - Upating BreadOrder: 165
10/29/17 - 11:21:05 - INFO - Upating BreadOrder: 166
10/29/17 - 11:21:05 - INFO - Executing BreadGuideVM#UpdateSquare
10/29/17 - 11:21:06 - INFO - Upating BreadOrder: 163
10/29/17 - 11:21:07 - INFO - Upating BreadOrder: 168
10/29/17 - 11:21:07 - INFO - Upating BreadOrder: 162
10/29/17 - 11:21:07 - INFO - Upating BreadOrder: 165
10/29/17 - 11:21:07 - INFO - Executing BreadGuideVM#UpdateSquare
10/29/17 - 11:21:08 - INFO - Upating BreadOrder: 167
10/29/17 - 11:21:08 - INFO - Upating BreadOrder: 166
10/29/17 - 11:21:09 - INFO - Executing BreadGuideVM#UpdateSquare
10/29/17 - 11:21:09 - INFO - Upating BreadOrder: 164
10/29/17 - 11:21:09 - INFO - Upating BreadOrder: 168
10/29/17 - 11:21:10 - INFO - Upating BreadOrder: 162
10/29/17 - 11:21:12 - INFO - Upating BreadOrder: 166
10/29/17 - 11:21:12 - INFO - Upating BreadOrder: 165
10/29/17 - 11:21:12 - INFO - Upating BreadOrder: 162
10/29/17 - 11:21:12 - INFO - Upating BreadOrder: 163
10/29/17 - 11:21:12 - INFO - Upating BreadOrder: 164
10/29/17 - 11:21:13 - INFO - Upating BreadOrder: 167
10/29/17 - 11:21:13 - INFO - Upating BreadOrder: 165
10/29/17 - 11:21:13 - INFO - Upating BreadOrder: 166
10/29/17 - 11:21:14 - INFO - Upating BreadOrder: 167
10/29/17 - 11:21:15 - INFO - Changed to tab: Orders
10/29/17 - 11:21:24 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:24 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:25 - INFO - Changed to tab: Orders
10/29/17 - 11:21:30 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:31 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:31 - INFO - Changed to tab: Inventory
10/29/17 - 11:21:33 - INFO - Changed to tab: Orders
10/29/17 - 11:21:34 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:37 - INFO - Changed to tab: Vendors
10/29/17 - 11:21:38 - INFO - Executing VendorTabVM#GenerateOrderSheet
10/29/17 - 11:30:52 - INFO - Changed to tab: Orders
10/29/17 - 11:30:54 - INFO - Executing OrderTabVM#StartNewOrder
10/29/17 - 11:30:54 - INFO - Adding temp tab: NewOrderVM
10/29/17 - 11:30:54 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:57 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Executing NewOrderVM#ClearOrderAmounts
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:58 - INFO - Changed to tab: New Order
10/29/17 - 11:30:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:50 - INFO - Changed to tab: New Order
10/29/17 - 11:31:51 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:56 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:31:59 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:01 - INFO - Changed to tab: New Order
10/29/17 - 11:32:02 - INFO - Changed to tab: New Order
10/29/17 - 11:32:02 - INFO - Changed to tab: New Order
10/29/17 - 11:32:02 - INFO - Changed to tab: New Order
10/29/17 - 11:32:02 - INFO - Changed to tab: New Order
10/29/17 - 11:32:02 - INFO - Changed to tab: New Order
