11/08/17 - 11:09:54 - INFO - Application starting
11/08/17 - 11:09:54 - INFO - Application starting
11/08/17 - 11:09:54 - INFO - Loading models
11/08/17 - 11:09:56 - ERROR - The process cannot access the file 'C:\Users\Buddha\Desktop\Database Files\Data\Logs\log11-08-2017.txt' because it is being used by another process.
   at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   at System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   at System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share, Int32 bufferSize, FileOptions options, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   at System.IO.StreamWriter.CreateFile(String path, Boolean append, Boolean checkHost)
   at System.IO.StreamWriter..ctor(String path, Boolean append, Encoding encoding, Int32 bufferSize, Boolean checkHost)
   at System.IO.StreamWriter..ctor(String path, Boolean append, Encoding encoding)
   at System.IO.File.InternalAppendAllText(String path, String contents, Encoding encoding)
   at System.IO.File.AppendAllText(String path, String contents)
   at BuddhaBowls.Helpers.Logger.Info(String msg)
   at BuddhaBowls.Services.DBCache.InitializeModels()
   at BuddhaBowls.Services.DBCache..ctor()
   at BuddhaBowls.MainViewModel.InitTabsAndModel()
   at BuddhaBowls.MainViewModel..ctor()
   at BuddhaBowls.MainClass.Show()
   at BuddhaBowls.MainClass.OnStartup(StartupEventArgs e)
   at System.Windows.Application.<.ctor>b__1_0(Object unused)
   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
11/08/17 - 11:09:59 - INFO - Models loaded
11/08/17 - 11:10:10 - INFO - Upating BreadOrder: 192
11/08/17 - 11:10:16 - INFO - Upating BreadOrder: 190
11/08/17 - 11:10:17 - INFO - Destroying DailySale: 0
11/08/17 - 11:10:17 - INFO - Upating BreadOrder: 191
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 1
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 2
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 3
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 4
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 5
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 6
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 7
11/08/17 - 11:10:18 - INFO - Destroying DailySale: 8
11/08/17 - 11:10:19 - INFO - Destroying DailySale: 9
11/08/17 - 11:10:19 - INFO - Destroying DailySale: 10
11/08/17 - 11:10:19 - INFO - Destroying DailySale: 11
11/08/17 - 11:10:20 - INFO - Destroying DailySale: 12
11/08/17 - 11:10:20 - INFO - Destroying DailySale: 13
11/08/17 - 11:10:21 - INFO - Destroying DailySale: 14
11/08/17 - 11:10:21 - INFO - Destroying DailySale: 15
11/08/17 - 11:10:21 - INFO - Destroying DailySale: 16
11/08/17 - 11:10:21 - INFO - Destroying DailySale: 17
11/08/17 - 11:10:22 - INFO - Destroying DailySale: 18
11/08/17 - 11:10:22 - INFO - Destroying DailySale: 19
11/08/17 - 11:10:22 - INFO - Destroying DailySale: 20
11/08/17 - 11:10:22 - INFO - Destroying DailySale: 21
11/08/17 - 11:10:23 - INFO - Destroying DailySale: 22
11/08/17 - 11:10:23 - INFO - Destroying DailySale: 23
11/08/17 - 11:10:23 - INFO - Destroying DailySale: 24
11/08/17 - 11:10:23 - INFO - Destroying DailySale: 25
11/08/17 - 11:10:23 - INFO - Destroying DailySale: 26
