Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
3,Feta,Dairy,33lbs,0.5,5lb BAG,1,OZ-wt,160,1,55.39,2,11/19/2017 12:00:00 AM,2
18,Artichoke Hearts,Grocery,6# CANS,0,CAN,6,OZ-wt,324,10000,43.83,3,11/19/2017 12:00:00 AM,2
23,Roasted Bell Peppers,Grocery,6# CANS,4,CAN,6,OZ-wt,360,98,29.03,6,11/19/2017 12:00:00 AM,2
24,Chopped Clams,Grocery,12x48oz CANS,15,CAN,12,EA,12,100,91.55,3,11/19/2017 12:00:00 AM,2
26,Clam Juice,Grocery,12x48oz CANS,17,CAN,12,EA,12,100,31.37,2,11/19/2017 12:00:00 AM,2
32,Sriracha,Grocery,12x17oz,5,BOTTLE,12,EA,12,100,19.13,1,11/19/2017 12:00:00 AM,2
41,Kalamata Olives,Grocery,6x4.4lbs,3,JAR,6,OZ-wt,64.8,10000,63.94,2,11/19/2017 12:00:00 AM,2
42,Lemon Juice,Grocery,1 Gal,4.75,GAL,4,OZ-wt,128,100,16.69,1,11/19/2017 12:00:00 AM,2
43,Dried Basil,Herbs,12oz,43.8,OZ-wt,12,TBL,274.29,100,9.81,1,11/19/2017 12:00:00 AM,2
44,Thyme,Herbs,2 lbs,56,OZ-wt,32,TBL,243.81,100,13.33,2,11/19/2017 12:00:00 AM,2
45,Oregano,Herbs,1.5lbs,36.6,OZ-wt,24,TBL,232.73,100,13.88,1,11/19/2017 12:00:00 AM,2
48,Pepper,Herbs,5lbs,209.6,OZ-wt,80,TBL,312.2,100,33.9,2,11/19/2017 12:00:00 AM,2
50,Chili Powder,Herbs,6lbs,94.2,OZ-wt,96,TBL,78.05,100,24.41,1,11/19/2017 12:00:00 AM,2
51,Paprika,Herbs,5lbs,48.8,OZ-wt,80,TBL,36.96,1E+08,16.65,1,11/19/2017 12:00:00 AM,2
62,Avocado,Produce,60 COUNT,26,EACH,60,EA,24,10000,20.77,1,11/19/2017 12:00:00 AM,2
112,Dried Garbanzo Beans,Grocery,25lb,12,QUART,13.318,LB,1.877,1000000,23.22,2,11/19/2017 12:00:00 AM,2
123,Detergent,Janitorial,5 GAL,0.9,GALLON,4,1,1,100,21.02,1,11/19/2017 12:00:00 AM,2
124,De-Greaser,Janitorial,1 Gal,3,GALLON,4,1,1,100,5.53,2,11/19/2017 12:00:00 AM,2
129,Lemonade Base,Beverage,EA,10.5,GALLON,4,1,16,,21.18,2,11/19/2017 12:00:00 AM,2
130,Pink Lemonade Base,Beverage,4 GAL,3.5,GALLON,4,1,1,,22.23,5,11/19/2017 12:00:00 AM,2
