Id,Name,Category,RecipeUnit,Count,PurchasedUnit,CountUnit,Conversion,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
3,Feta,Dairy,OZ-wt,0.7,33lbs,5lb BAG,1,160,1,49.74,1,12/11/2017 12:00:00 AM,2
18,Artichoke Hearts,Grocery,OZ-wt,2,6# CANS,CAN,6,324,10000,43.87,5,12/11/2017 12:00:00 AM,2
20,BBQ Sauce,Grocery,OZ-wt,2,CS 39.5lbs,JUG,4,632,9800,39.94,1,1/21/2018 12:00:00 AM,0
23,Roasted Bell Peppers,Grocery,OZ-wt,11,6# CANS,CAN,6,360,98,29.13,10,12/11/2017 12:00:00 AM,0
30,Balsamic Vinegar,Grocery,OZ-wt,1.5,2 x 5 Liter,JUG,2,169.07,100,18.5,1,,2
31,Tapatio,Grocery,EA,13,EA,BOTTLE,12,12,10000,12.84,2,1/21/2018 12:00:00 AM,0
32,Sriracha,Grocery,EA,11,12x17oz,BOTTLE,12,12,100,18.5,2,1/21/2018 12:00:00 AM,0
41,Kalamata Olives,Grocery,OZ-wt,4,6x4.4lbs,JAR,6,64.8,10000,47.18,3,12/11/2017 12:00:00 AM,2
42,Lemon Juice,Grocery,OZ-wt,4.5,4 GAL,GAL,4,128,1,16.72,1,12/11/2017 12:00:00 AM,2
44,Thyme,Herbs,TBL,35.4,2 lbs,OZ-wt,32,243.81,100,13.34,2,12/11/2017 12:00:00 AM,2
45,Oregano,Herbs,TBL,42.4,1.5lbs,OZ-wt,24,9.697,1,13.9,1,12/11/2017 12:00:00 AM,2
48,Pepper,Herbs,TBL,19.6,5lbs,OZ-wt,80,3.9,1,25.15,3,12/11/2017 12:00:00 AM,2
50,Chili Powder,Herbs,TBL,91.2,6lbs,OZ-wt,96,78.05,100,24.43,1,,2
51,Paprika,Herbs,TBL,103.4,5lbs,OZ-wt,80,36.96,1E+08,16.67,1,12/11/2017 12:00:00 AM,2
71,Garlic Peeled,Produce,OZ-wt,0,5lbs,JAR,1,114.29,98,7.86,1,2/12/2018 12:00:00 AM,0
87,Foil Roll,Paper Goods,1,1.1,ROLL,1,1,1,1E+08,17.65,5,,2
112,Dried Garbanzo Beans,Grocery,LB,12,25lb,QUART,13.318,1.88,1,22.93,2,1/24/2018 12:00:00 AM,0
129,Lemonade Base,Beverage,1,1.3,EA,GALLON,4,16,,21.11,1.75,12/11/2017 12:00:00 AM,2
130,Pink Lemonade Base,Beverage,1,3.6,4 GAL,GALLON,4,1,,22.23,4,12/11/2017 12:00:00 AM,2
