Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
11,Pesto,1,Dairy,2/22lb,0,BAG,2,OZ-wt,4,970000,106,10/22/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,Grocery,6# CANS,7,CAN,6,EA,6,100,15.47,10/22/2017 12:00:00 AM,0
21,Macaroni,3,Grocery,20lb CASE,4,BAG,2,EA,160,1,17.72,10/22/2017 12:00:00 AM,0
25,Tomato Juice,1,Grocery,12x48oz CANS,20,CAN,12,EA,12,100,15.79,10/22/2017 12:00:00 AM,0
31,Tapatio,1,Grocery,EA,13,BOTTLE,12,EA,12,10000,18.99,10/22/2017 12:00:00 AM,0
32,Sriracha,1,Grocery,12x17oz,3,BOTTLE,12,EA,12,100,25.89,10/22/2017 12:00:00 AM,0
36,Olive Oil,1,Grocery,6 GAL,7.75,JUG,6,OZ-fl,128,99,50.8,10/22/2017 12:00:00 AM,0
56,Potatoes,1,Produce,50lb,0.5,1/2 CASE,1,OZ-wt,800,850000,18.8,10/22/2017 12:00:00 AM,0
57,Spinach,2,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.79,10/22/2017 12:00:00 AM,0
58,Mixed Greens,2,Produce,3lb,1,BAG,1,OZ-wt,48,9800,5.99,10/22/2017 12:00:00 AM,0
61,Tomatoes,2,Produce,25lb,0.25,CASE,1,OZ-wt,400,97,13.75,10/22/2017 12:00:00 AM,0
62,Avocado,1,Produce,60 COUNT,28,EACH,60,EA,24,10000,49.99,10/22/2017 12:00:00 AM,0
64,Fresh Basil,1,Produce,1lb,1,BAG,1,OZ-wt,16,65,8.99,10/22/2017 12:00:00 AM,0
66,Pineapple,1,Produce,6 COUNT,0,EACH,6,OZ-wt,44,100,16.99,10/22/2017 12:00:00 AM,0
71,Garlic Peeled,1,Produce,5lbs,0,JAR,1,OZ-wt,114.29,98,18.63,10/22/2017 12:00:00 AM,0
74,Italian Sausage,4,Meats,20lb CASE,8,BAG,4,OZ-wt,160,91,47.95,10/22/2017 12:00:00 AM,0
75,Bacon Bits,3,Meats,10lb CASE,2,BAG,2,OZ-wt,160,100,54.99,10/22/2017 12:00:00 AM,0
