Id,Category,Name,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Dairy,Mozzarella,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,55.99,2,3/8/2018 12:00:00 AM,0
1,Dairy,Cheddar,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,42.04,3,3/8/2018 12:00:00 AM,0
11,Dairy,Pesto,2/22lb,2,BAG,2,OZ-wt,1,1,107.99,1,2/26/2018 11:53:10 AM,0
19,Grocery,Mayonnaise,4 GAL,7,JUG,4,EA,1,1,26.99,2,3/5/2018 12:00:00 AM,0
21,Grocery,Macaroni,20lb CASE,4,BAG,2,EA,160,2.41,19.82,6,3/8/2018 12:00:00 AM,0
25,Grocery,Tomato Juice,12x48oz CANS,24,CAN,12,EA,1,1,15.79,2,3/8/2018 12:00:00 AM,0
36,Grocery,Olive Oil,6 GAL,8,JUG,6,OZ-fl,128,1,49.95,1,3/8/2018 12:00:00 AM,0
54,Produce,Yellow Onions,20lbs,7,BAG,4,OZ-wt,80,1,16.59,7,3/8/2018 12:00:00 AM,0
55,Produce,Red Onions,25lb,0.6,BAG,1,OZ-wt,400,8500,11.5,1,3/8/2018 12:00:00 AM,0
56,Produce,Potatoes,50lb,0.5,1/2 CASE,1,OZ-wt,800,0.85,17.89,1,3/5/2018 12:00:00 AM,0
57,Produce,Spinach,4x2.5lb,6,BAG,4,OZ-wt,160,99,16.5,3,3/8/2018 12:00:00 AM,0
58,Produce,Mixed Greens,3lb,0,BAG,1,OZ-wt,48,9800,5.99,3,3/8/2018 12:00:00 AM,0
59,Produce,Mushrooms,10lb CASE,0,FLAT,1,OZ-wt,160,0.9,16.9,5,3/8/2018 12:00:00 AM,0
60,Produce,Cucumbers,36 COUNT,0.1,CASE,1,OZ-wt,420,950000,23.07,1,3/8/2018 12:00:00 AM,0
61,Produce,Tomatoes,25lb,0,CASE,1,OZ-wt,400,0.95,16.71,1,3/8/2018 12:00:00 AM,0
64,Produce,Fresh Basil,1lb,0,BAG,1,OZ-wt,16,1,8.99,1,3/8/2018 12:00:00 AM,0
66,Produce,Pineapple,6 COUNT,1,EACH,6,OZ-wt,44,100,16.99,1,3/8/2018 12:00:00 AM,0
71,Produce,Garlic Peeled,5lbs,0,JAR,1,OZ-wt,114.29,1,16.99,2,3/8/2018 12:00:00 AM,0
72,Poultry,Chicken Breast,40lb CASE,1,CASE,1,OZ-wt,640,85,42.53,5,3/8/2018 12:00:00 AM,0
74,Meats,Italian Sausage,20lb CASE,11,BAG,4,OZ-wt,160,91,47.5,2,3/8/2018 12:00:00 AM,0
75,Meats,Bacon Bits,10lb CASE,0,BAG,2,OZ-wt,80,1,51.99,3,3/8/2018 12:00:00 AM,0
134,Dairy,Buttermilk,EA,0,1/2 GALLON,6,EA,1,1,9.89,1,,
