Id,Name,Count,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
1,Cheddar,8,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,46.89,1,7/9/2017 12:00:00 AM,0
2,Pepper Jack,3,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,46.75,1,7/9/2017 12:00:00 AM,0
8,Eggs,5.5,Dairy,15 DOZEN,TRAY,6,EA,180,95,16.98,1,7/9/2017 12:00:00 AM,0
9,Whole Milk,18,Dairy,4 GAL,GALLON,4,CUP,32,100,14.5,2,7/9/2017 12:00:00 AM,0
21,Macaroni,3,Grocery,20lb CASE,BAG,2,EA,320,241,17.69,2,7/9/2017 12:00:00 AM,0
25,Tomato Juice,15,Grocery,12x48oz CANS,CAN,12,EA,12,100,15.79,2,7/9/2017 12:00:00 AM,0
54,Yellow Onions,0,Produce,50lb,BAG,1,OZ-wt,800,85,17.21,0,7/9/2017 12:00:00 AM,0
57,Spinach,1,Produce,4x2.5lb,BAG,4,OZ-wt,160,99,15.79,1,7/9/2017 12:00:00 AM,0
59,Mushrooms,0,Produce,10lb CASE,FLAT,1,OZ-wt,160,95,18.99,1,7/9/2017 12:00:00 AM,0
71,Garlic Peeled,1,Produce,5lbs,JAR,1,OZ-wt,114.29,98,17.95,1,7/9/2017 12:00:00 AM,0
72,Chicken Breast,0,Poultry,40lb CASE,CASE,1,OZ-wt,640,85,74.78,1,7/9/2017 12:00:00 AM,0
