Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
78,Biopack #4,8,Paper Goods,Case,10,Stack,4,Each,40,4E+07,39.55,10/24/2017 12:00:00 AM,3
79,Water Cups,1,Paper Goods,2500,21,Sleeve,25,1,2500,10000,73.7,10/24/2017 12:00:00 AM,3
81,Spoons,1,Paper Goods,1000,16,Sleeve,10,1,1,10000,7,10/24/2017 12:00:00 AM,3
82,Forks,1,Paper Goods,1000,9,Sleeve,10,1,1,10000,20.59,10/24/2017 12:00:00 AM,3
85,Wax Paper Sheets,1,Paper Goods,6000,2,Stack,6,1,1,10000,54.65,10/24/2017 12:00:00 AM,3
86,Small To-Go Bags,1,Paper Goods,500,0.4,Case,1,1,1,100,14.88,10/24/2017 12:00:00 AM,3
90,Paper Towels,1,Paper Goods,4000,14,Sleeve,16,1,1,1E+08,16.11,10/24/2017 12:00:00 AM,3
91,To-Go Soup Lids,1,Paper Goods,500,6,Sleeve,10,1,1,1E+08,42.68,10/24/2017 12:00:00 AM,3
106,24 Oz Cups,1,Paper Goods,600 COUNT,14,Sleeve,12,Each,1,10000,64.75,10/24/2017 12:00:00 AM,3
110,Poly Gloves,1,Paper Goods,2000,20,BOX,4,1,1,100,15.8,10/24/2017 12:00:00 AM,3
115,16/24 Oz Lids,1,Paper Goods,1000 CASE,6,Sleeve,10,1,1,100,25.51,10/24/2017 12:00:00 AM,3
116,Straws,1,Paper Goods,2000,1,BOX,4,1,1,100,10.06,10/24/2017 12:00:00 AM,3
119,Soufle Cups,1,Paper Goods,2500,5,Sleeve,25,1,1,100,26.35,10/24/2017 12:00:00 AM,3
121,Die-Cut To-Go Bags,1,Paper Goods,500,0.2,CASE,1,1,1,100,55.35,10/24/2017 12:00:00 AM,3
125,Bleach,1,Janitorial,4 GAL,4.2,GALLON,4,1,1,100,8,10/24/2017 12:00:00 AM,3
