Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
78,Biopack #4,Paper Goods,Case,13,Stack,4,Each,40,4E+07,39.55,8,11/7/2017 12:00:00 AM,3
79,Water Cups,Paper Goods,2500,18,Sleeve,25,1,2500,10000,73.7,1,11/7/2017 12:00:00 AM,3
82,Forks,Paper Goods,1000,14,Sleeve,10,1,1,10000,20.59,1,11/7/2017 12:00:00 AM,3
85,Wax Paper Sheets,Paper Goods,6000,6,Stack,6,1,1,10000,54.65,1,11/7/2017 12:00:00 AM,3
86,Small To-Go Bags,Paper Goods,500,1,Case,1,1,1,100,14.88,1,11/7/2017 12:00:00 AM,3
90,Paper Towels,Paper Goods,4000,20,Sleeve,16,1,1,1E+08,16.11,1,11/7/2017 12:00:00 AM,3
91,To-Go Soup Lids,Paper Goods,500,11,Sleeve,10,1,1,1E+08,42.68,1,11/7/2017 12:00:00 AM,3
95,Napkins,Paper Goods,6000,10.5,Stack,12,1,1,10000,45.46,1,11/7/2017 12:00:00 AM,3
110,Poly Gloves,Paper Goods,2000,13,BOX,4,1,1,100,15.8,2,11/7/2017 12:00:00 AM,3
121,Die-Cut To-Go Bags,Paper Goods,500,1,CASE,1,1,1,100,55.35,1,11/7/2017 12:00:00 AM,3
