Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
78,Biopack #4,39.55,4,Case,Paper Goods,16,Stack,Each,40,4E+07,6,6/27/2017 12:00:00 AM,3
79,Water Cups,66.31,25,2500,Paper Goods,26,Sleeve,1,2500,10000,1,6/27/2017 12:00:00 AM,3
82,Forks,20.59,10,1000,Paper Goods,13,Sleeve,1,1,10000,1,6/27/2017 12:00:00 AM,3
85,Wax Paper Sheets,54.65,6,6000,Paper Goods,1,Stack,1,1,10000,1,6/27/2017 12:00:00 AM,3
87,Foil Roll,22.77,1,ROLL,Paper Goods,1,1,1,1,1E+08,1,6/27/2017 12:00:00 AM,3
89,To-Go Soup Bowls (16oz),48.78,10,500,Paper Goods,8,Sleeve,1,1,1000000,1,6/27/2017 12:00:00 AM,3
91,To-Go Soup Lids,42.68,10,500,Paper Goods,9,Sleeve,1,1,1E+08,1,6/27/2017 12:00:00 AM,3
92,To-Go Soup Bowls (12oz),42.68,10,500,Paper Goods,7,Sleeve,1,1,10000,1,6/27/2017 12:00:00 AM,3
95,Napkins,45.46,12,6000,Paper Goods,3.5,Stack,1,1,10000,1,6/27/2017 12:00:00 AM,3
110,Poly Gloves,15.8,4,2000,Paper Goods,17,BOX,1,1,100,1,6/27/2017 12:00:00 AM,3
115,16/24 Oz Lids,23.19,10,1000 CASE,Paper Goods,7,Sleeve,1,1,100,1,6/27/2017 12:00:00 AM,3
122,Garbage Bags,28.62,1,250,Janitorial,0.9,CASE,1,1,100,1,6/27/2017 12:00:00 AM,3
