Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
0,Mozzarella,Dairy,CASE 30lb,5lb BAG,6,OZ-wt,480,6,1,66.76,0,
1,Cheddar,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,0,1,43.65,0,
2,Pepper Jack,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,0,1,43.78,0,12/28/2016 11:52:40 AM
3,Feta,Dairy,CASE 10lb,5lb BAG,2,OZ-wt,160,2,1,28.98,0,
4,Butter,Dairy,CASE 30lb,1lb,30,OZ-wt,480,40,1,76.99,0,
5,Sour Cream,Dairy,CASE 10lb,5lb BUCKET,2,OZ-wt,160,1,0.95,12.4,0,
6,Heavy Cream,Dairy,6 1/2 Gallon,1/2 GALLON,6,CUP,48,1,1,41.5,0,
7,Whipped Cream,Dairy,CS 3 each,CAN,3,OZ-wt,32,2,1,9.39,0,
8,Eggs,Dairy,15 DOZEN,TRAY,6,EA,180,4,0.95,10.95,0,
9,Whole Milk,Dairy,2 GALLON,GALLON,2,CUP,32,9,1,4.69,0,
10,Yogurt,Dairy,6 QUARTS,QUART,6,OZ-wt,18,13,1,14.5,0,
11,Pesto,Dairy,4/33.5,BUCKET,4,OZ-wt,4,0,0.97,126,0,
12,Cookie Dough,Dairy,BUCKET,BUCKET,1,OZ-wt,,6.5,1,9.29,0,12/28/2016 11:52:40 AM
13,Pizza Sauce,Dry Goods,6# CANS,CAN,6,EA,6,6,1,20.89,0,
14,Stewed Tomatoes,Dry Goods,6# CANS,CAN,6,EA,6,4,1,14.94,0,
15,Black Beans,Dry Goods,6# CANS,CAN,6,EA,6,5,1,25.78,0,
16,Garbanzo Beans,Dry Goods,6# CANS,CAN,6,EA,6,4,1,25,0,
17,Pinto Beans,Dry Goods,6# CANS,CAN,6,EA,6,6,1,23,0,
18,Artichoke Hearts,Dry Goods,6# CANS,CAN,6,OZ-wt,324,6,1,43.22,20,12/28/2016 11:52:40 AM
19,Mayonnaise,Dry Goods,4 GAL,JUG,4,EA,4,1,1,22.89,0,
20,BBQ Sauce,Dry Goods,CS 39.5lbs,JUG,4,OZ-wt,632,8,0.98,39.06,0,
21,Macaroni,Dry Goods,2lb,BAG,2,EA,320,2,2.41,19.88,0,
22,Granola,Dry Goods,25lb bag,6" PAN,12,OZ-wt,400,3,1,56.32,0,
23,Roasted Bell Peppers,Dry Goods,6# CANS,CAN,6,OZ-wt,360,0,0.98,36.09,0,
24,Chopped Clams,Dry Goods,12x48oz CANS,CAN,12,EA,12,5,1,99.49,0,
25,Tomato Juice,Dry Goods,12x48oz CANS,CAN,12,EA,12,18,1,13.24,0,
26,Clam Juice,Dry Goods,12x48oz CANS,CAN,12,EA,12,14,1,28.87,0,
27,Nutella,Dry Goods,53oz,JAR,2,OZ-wt,53,11,0.9,11.99,0,
28,Honey,Dry Goods,5lbs,JUG,1,OZ-wt,80,1,0.95,13.93,0,
29,Vanilla,Dry Goods,,,0,Oz-fl,16,0,1,0,0,
30,Balsamic Vinegar,Dry Goods,5 LITER,JUG,1,OZ-wt,169.07,0.6,1,27.89,20,12/28/2016 11:52:40 AM
31,Tapatio,Dry Goods,12 EACH,BOTTLE,12,EA,12,8,1,17.74,0,
32,Sriracha,Dry Goods,12 EACH,BOTTLE,12,EA,12,12,1,21.38,0,
33,Chicken Broth,Dry Goods,4 EA,BOTTLE,4,,,4,0,40,0,
34,Canola Oil,Dry Goods,30lb JUG,JUG,1,OZ-wt,800,0.5,0.99,20.85,0,
35,Canola Oil Bottles,Dry Goods,EACH,BOTTLE,18,,,4,0,20.01,0,
36,Olive Oil,Dry Goods,6 GAL,JUG,6,OZ-fl,768,5.1,0.99,67,0,
37,Flour,Dry Goods,25lb,BAG,1,CUP,66.67,1.4,1,6.67,0,
