Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,2,60.576,Dairy,CASE 30lb,3,5lb BAG,6,OZ-wt,80,1,1/21/2018 12:00:00 AM,0
1,Cheddar,3,41.93,Dairy,CASE 20lb,0,5lb BAG,4,OZ-wt,80,1,1/21/2018 12:00:00 AM,0
9,Whole Milk,28,5.49,Dairy,2 GALLON,22,GALLON,2,CUP,16,1,,6
19,Mayonnaise,1,32.15,Grocery,4 GAL,7,JUG,4,EA,1,1,3/11/2018 1:25:25 PM,10
54,Yellow Onions,6,27.8,Produce,20lb CASE,7,BAG,1,OZ-wt,80,1,2/15/2018 2:38:32 PM,0
55,Red Onions,0,12.99,Produce,25lb,0.75,BAG,1,OZ-wt,400,0.85,,10
56,Potatoes,1,13.79,Produce,50lb,0.5,1/2 CASE,1,OZ-wt,800,0.85,2/19/2018 12:00:00 AM,0
57,Spinach,0,15.79,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,0.99,,10
58,Mixed Greens,1,8.5,Produce,3lb,0,BAG,1,OZ-wt,48,0.98,11/27/2017 12:00:00 AM,10
59,Mushrooms,2,26.95,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,0.9,3/11/2018 1:25:25 PM,10
60,Cucumbers,1,18.35,Produce,36 COUNT,0.4,CASE,1,OZ-wt,420,0.95,11/27/2017 12:00:00 AM,10
61,Tomatoes,0,17.9,Produce,25lb,1,CASE,1,OZ-wt,400,0.95,,10
62,Avocado,0,49.99,Produce,60 COUNT,108,EACH,60,EA,24,1,,10
63,Celery,0,28.35,Produce,24 COUNT,0.9,1/2 CASE,24,BUNCH,1,1,,1
64,Fresh Basil,1,8.99,Produce,1lb,0,BAG,1,OZ-wt,16,1,2/19/2018 12:00:00 AM,0
66,Pineapple,1,16.65,Produce,6 COUNT,0,EACH,6,OZ-wt,44,1,1/21/2018 12:00:00 AM,0
71,Garlic Peeled,1,18.63,Produce,5lbs,0,JAR,1,OZ-wt,114.29,1,2/15/2018 2:38:32 PM,0
