Id,LastPurchasedDate,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastVendorId
1,2/19/2018 12:00:00 AM,Cheddar,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,42.24,1,0
2,1/17/2018 12:00:00 AM,Pepper Jack,Dairy,CASE 20lb,1,5lb BAG,4,OZ-wt,80,1,42.85,1,0
3,3/2/2018 12:00:00 AM,Feta,Dairy,33lbs,0.7,5lb BAG,1,OZ-wt,160,1,49.74,2,2
6,2/2/2018 12:40:38 PM,Heavy Cream,Dairy,6 1/2 Gallon,6,1/2 GALLON,6,CUP,8,1,35.95,3,6
8,1/17/2018 12:00:00 AM,Eggs,Dairy,15 DOZEN,2,TRAY,6,EA,180,0.95,10,1,0
13,1/29/2018 12:00:00 AM,Pizza Sauce,Grocery,6# CANS,0,CAN,6,EA,6,1,22,2,0
18,3/2/2018 12:00:00 AM,Artichoke Hearts,Grocery,6# CANS,49,CAN,6,OZ-wt,324,10000,43.87,3,2
20,3/5/2018 10:48:08 AM,BBQ Sauce,Grocery,CS 39.5lbs,8,JUG,4,OZ-wt,632,9800,48.99,1,2
21,3/5/2018 10:48:08 AM,Macaroni,Grocery,20lb CASE,20,BAG,2,EA,160,2.41,19.82,3,2
23,3/5/2018 10:48:08 AM,Roasted Bell Peppers,Grocery,6# CANS,89,CAN,6,OZ-wt,63.5,1,37.94,1,2
24,2/15/2018 2:38:32 PM,Chopped Clams,Grocery,12x48oz CANS,5,CAN,12,EA,1,1,91.55,1,0
26,,Clam Juice,Grocery,12x48oz CANS,2,CAN,12,EA,1,1,31.37,0,2
30,,Balsamic Vinegar,Grocery,2 x 5 Liter,1.5,JUG,2,OZ-wt,169.07,1,18.5,1,2
31,3/2/2018 12:00:00 AM,Tapatio,Grocery,EA,13,BOTTLE,12,EA,12,1,12.84,1,2
32,3/2/2018 12:00:00 AM,Sriracha,Grocery,12x17oz,11,BOTTLE,12,EA,12,1,18.88,1,2
33,,Chicken Broth,Grocery,4x32oz,1,BOTTLE,4,OZ-wt,1,1,35.99,0,2
40,3/2/2018 12:00:00 AM,Tahini,Grocery,40lbs,1,Container,1,OZ-wt,640,1,58.45,1,2
41,3/2/2018 12:00:00 AM,Kalamata Olives,Grocery,6x4.4lbs,4,JAR,6,OZ-wt,64.8,1,47.18,1,2
42,2/15/2018 2:38:32 PM,Lemon Juice,Grocery,4 GAL,0,GAL,4,OZ-wt,128,1,16.72,1,0
43,12/11/2017 12:00:00 AM,Dried Basil,Herbs,12oz,47.4,OZ-wt,24,TBL,274.29,1,9.81,1,2
