Id,Name,Category,CountUnit,RecipeUnit,RecipeUnitConversion,PurchasedUnit,Count,Conversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,5lb BAG,OZ-wt,80,CASE 30lb,0,6,1,59.379,0,12/3/2017 12:00:00 AM,9
1,Cheddar,Dairy,5lb BAG,OZ-wt,80,CASE 20lb,0,4,1,41.132,0,12/3/2017 12:00:00 AM,9
4,Butter,Dairy,1lb,OZ-wt,16,CASE 30lb,0,30,1,80.8652,0,,9
6,Heavy Cream,Dairy,1/2 GALLON,CUP,8,1/2 Gallon,6,1,1,6.2036,3,2/2/2018 12:40:38 PM,6
8,Eggs,Dairy,TRAY,EA,180,15 DOZEN,0,6,0.95,18.5176,0,,9
24,Chopped Clams,Grocery,CAN,EA,1,12x48oz CANS,5,12,1,91.5,1,2/15/2018 2:38:32 PM,0
25,Tomato Juice,Grocery,CAN,EA,1,12x48oz CANS,24,12,1,27,3,2/19/2018 12:00:00 AM,0
54,Yellow Onions,Produce,BAG,OZ-wt,80,20lb CASE,7,1,1,17,6,2/15/2018 2:38:32 PM,0
59,Mushrooms,Produce,FLAT,OZ-wt,160,10lb CASE,0,1,0.9,16.8009,3,2/22/2018 2:57:03 PM,0
72,Chicken Breast,Poultry,CASE,OZ-wt,640,40lb CASE,0,1,0.85,54.8,0,,9
