Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,Id
Mozzarella,Dairy,CASE 30lb,6,5lb BAG,6,OZ-wt,480,1,66.76,0,,0
Cheddar,Dairy,CASE 20lb,0,5lb BAG,4,OZ-wt,320,1,43.65,0,,1
Pepper Jack,Dairy,CASE 20lb,0,5lb BAG,4,OZ-wt,320,1,43.78,3,12/28/2016 11:52:40 AM,2
Feta,Dairy,CASE 10lb,2,5lb BAG,2,OZ-wt,160,1,28.98,0,,3
Butter,Dairy,CASE 30lb,40,1lb,30,OZ-wt,480,1,76.99,0,,4
Sour Cream,Dairy,CASE 10lb,1,5lb BUCKET,2,OZ-wt,160,0.95,12.4,0,,5
Heavy Cream,Dairy,6 1/2 Gallon,1,1/2 GALLON,6,CUP,48,1,41.5,0,,6
Whipped Cream,Dairy,CS 3 each,2,CAN,3,OZ-wt,32,1,9.39,0,,7
Eggs,Dairy,15 DOZEN,4,TRAY,6,EA,180,0.95,10.95,0,,8
Whole Milk,Dairy,2 GALLON,9,GALLON,2,CUP,32,1,4.69,0,,9
Yogurt,Dairy,6 QUARTS,13,QUART,6,OZ-wt,18,1,14.5,0,,10
Pesto,Dairy,4/33.5,0,BUCKET,4,OZ-wt,4,0.97,126,0,,11
Cookie Dough,Dairy,BUCKET,6.5,BUCKET,1,OZ-wt,,1,9.29,4,12/28/2016 11:52:40 AM,12
Pizza Sauce,Dry Goods,6# CANS,6,CAN,6,EA,6,1,20.89,0,,13
Stewed Tomatoes,Dry Goods,6# CANS,4,CAN,6,EA,6,1,14.94,0,,14
Black Beans,Dry Goods,6# CANS,5,CAN,6,EA,6,1,25.78,0,,15
Garbanzo Beans,Dry Goods,6# CANS,4,CAN,6,EA,6,1,25,0,,16
Pinto Beans,Dry Goods,6# CANS,6,CAN,6,EA,6,1,23,0,,17
Artichoke Hearts,Dry Goods,6# CANS,6,CAN,6,OZ-wt,324,1,53.22,7,12/28/2016 11:52:40 AM,18
Mayonnaise,Dry Goods,4 GAL,1,JUG,4,EA,4,1,22.89,0,,19
BBQ Sauce,Dry Goods,CS 39.5lbs,8,JUG,4,OZ-wt,632,0.98,39.06,0,,20
Macaroni,Dry Goods,2lb,2,BAG,2,EA,320,2.41,19.88,0,,21
Granola,Dry Goods,25lb bag,3,6" PAN,12,OZ-wt,400,1,56.32,0,,22
Roasted Bell Peppers,Dry Goods,6# CANS,0,CAN,6,OZ-wt,360,0.98,36.09,0,,23
Chopped Clams,Dry Goods,12x48oz CANS,5,CAN,12,EA,12,1,99.49,0,,24
Tomato Juice,Dry Goods,12x48oz CANS,18,CAN,12,EA,12,1,13.24,0,,25
Clam Juice,Dry Goods,12x48oz CANS,14,CAN,12,EA,12,1,28.87,0,,26
Nutella,Dry Goods,53oz,11,JAR,2,OZ-wt,53,0.9,11.99,0,,27
Honey,Dry Goods,5lbs,1,JUG,1,OZ-wt,80,0.95,13.93,0,,28
Vanilla,Dry Goods,,0,,0,Oz-fl,16,1,0,0,,29
Balsamic Vinegar,Dry Goods,5 LITER,0.6,JUG,1,OZ-wt,169.07,1,17.89,5,12/28/2016 11:52:40 AM,30
Tapatio,Dry Goods,12 EACH,8,BOTTLE,12,EA,12,1,17.74,0,,31
Sriracha,Dry Goods,12 EACH,12,BOTTLE,12,EA,12,1,21.38,0,,32
Chicken Broth,Dry Goods,4 EA,4,BOTTLE,4,,,0,40,0,,33
Canola Oil,Dry Goods,30lb JUG,0.5,JUG,1,OZ-wt,800,0.99,20.85,0,,34
Canola Oil Bottles,Dry Goods,EACH,4,BOTTLE,18,,,0,20.01,0,,35
Olive Oil,Dry Goods,6 GAL,5.1,JUG,6,OZ-fl,768,0.99,67,0,,36
Flour,Dry Goods,25lb,1.4,BAG,1,CUP,66.67,1,6.67,0,,37
Sugar (BROWN),Dry Goods,Sugar (Brown),16,QUART,16,CUP,62.5,1,13.99,7,12/28/2016 11:52:40 AM,38
Sugar (POWDERED),Dry Goods,7lbs,0,EACH,1,OZ-wt,112,1,4.69,7,12/28/2016 11:52:40 AM,39
Tahini,Dry Goods,40lbs,28,LB,40,OZ-wt,640,0.98,148.18,0,,40
Kalamata Olives,Dry Goods,EACH,0.5,JAR,1,OZ-wt,64.8,1,12.82,0,,41
Lemon Juice,Dry Goods,1 Gal,0.75,GAL,1,OZ-wt,128,1,10.2,0,,42
Dried Basil,Herbs,24oz,2,OZ-wt,24,TBL,274.29,1,7.71,0,,43
Thyme,Herbs,2lbs,1,OZ-wt,32,TBL,243.81,1,13.3,0,,44
Oregano,Herbs,1lb,2,OZ-wt,16,TBL,232.73,1,10.3,4,12/28/2016 11:52:40 AM,45
Cumin,Herbs,4.5lbs,2,OZ-wt,72,TBL,360,1,29.37,0,,46
Cayenne Pepper,Herbs,,1,OZ-wt,0,TBL,1,1,0,0,,47
Pepper,Herbs,5lbs,2,OZ-wt,80,TBL,312.2,1,45,10,12/28/2016 11:52:40 AM,48
