02/04/18 - 09:04:34 - INFO - Application starting
02/04/18 - 09:04:34 - INFO - Loading models
02/04/18 - 09:04:35 - INFO - Models loaded
02/04/18 - 09:04:43 - INFO - Upating BreadOrder: 274
02/04/18 - 09:04:44 - INFO - Upating BreadOrder: 275
02/04/18 - 09:04:44 - INFO - Upating BreadOrder: 280
02/04/18 - 09:04:44 - INFO - Upating BreadOrder: 276
02/04/18 - 09:04:47 - INFO - Upating BreadOrder: 277
02/04/18 - 09:04:49 - INFO - Changed to tab: Orders
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Upating DailySale: 0
02/04/18 - 09:04:50 - INFO - Upating DailySale: 1
02/04/18 - 09:04:50 - INFO - Upating DailySale: 2
02/04/18 - 09:04:50 - INFO - Upating DailySale: 3
02/04/18 - 09:04:50 - INFO - Upating DailySale: 4
02/04/18 - 09:04:50 - INFO - Upating DailySale: 5
02/04/18 - 09:04:50 - INFO - Upating DailySale: 6
02/04/18 - 09:04:50 - INFO - Upating DailySale: 7
02/04/18 - 09:04:50 - INFO - Upating DailySale: 8
02/04/18 - 09:04:50 - INFO - Upating DailySale: 9
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Upating DailySale: 10
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Upating DailySale: 11
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Upating DailySale: 12
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Upating DailySale: 13
02/04/18 - 09:04:50 - INFO - Upating DailySale: 14
02/04/18 - 09:04:50 - INFO - Upating DailySale: 15
02/04/18 - 09:04:50 - INFO - Upating DailySale: 16
02/04/18 - 09:04:50 - INFO - Upating DailySale: 17
02/04/18 - 09:04:50 - INFO - Upating DailySale: 18
02/04/18 - 09:04:50 - INFO - Upating DailySale: 19
02/04/18 - 09:04:50 - INFO - Changed to tab: Inventory
02/04/18 - 09:04:50 - INFO - Upating DailySale: 20
02/04/18 - 09:04:50 - INFO - Upating DailySale: 21
02/04/18 - 09:04:50 - INFO - Upating DailySale: 22
02/04/18 - 09:04:51 - INFO - Upating DailySale: 23
02/04/18 - 09:04:51 - INFO - Upating BreadOrder: 278
02/04/18 - 09:04:51 - INFO - Upating DailySale: 24
02/04/18 - 09:04:51 - INFO - Upating DailySale: 25
02/04/18 - 09:04:51 - INFO - Upating DailySale: 26
02/04/18 - 09:04:51 - INFO - Upating DailySale: 27
02/04/18 - 09:04:51 - INFO - Upating DailySale: 28
02/04/18 - 09:04:51 - INFO - Upating DailySale: 29
02/04/18 - 09:04:51 - INFO - Upating BreadOrder: 279
02/04/18 - 09:04:51 - INFO - Upating DailySale: 30
02/04/18 - 09:04:51 - INFO - Upating DailySale: 31
02/04/18 - 09:04:51 - INFO - Upating DailySale: 32
02/04/18 - 09:04:51 - INFO - Upating DailySale: 33
02/04/18 - 09:04:51 - INFO - Upating DailySale: 34
02/04/18 - 09:04:51 - INFO - Upating DailySale: 35
02/04/18 - 09:04:51 - INFO - Upating DailySale: 36
02/04/18 - 09:04:51 - INFO - Upating DailySale: 37
02/04/18 - 09:04:51 - INFO - Upating DailySale: 38
02/04/18 - 09:04:51 - INFO - Upating DailySale: 39
02/04/18 - 09:04:51 - INFO - Upating DailySale: 40
02/04/18 - 09:04:51 - INFO - Upating DailySale: 41
02/04/18 - 09:04:51 - INFO - Upating DailySale: 42
02/04/18 - 09:04:51 - INFO - Upating DailySale: 43
02/04/18 - 09:04:51 - INFO - Upating DailySale: 44
02/04/18 - 09:04:51 - INFO - Upating DailySale: 45
02/04/18 - 09:04:51 - INFO - Upating DailySale: 46
02/04/18 - 09:04:51 - INFO - Upating DailySale: 47
02/04/18 - 09:04:51 - INFO - Upating DailySale: 48
02/04/18 - 09:04:51 - INFO - Upating DailySale: 49
02/04/18 - 09:04:51 - INFO - Upating DailySale: 50
02/04/18 - 09:04:51 - INFO - Upating DailySale: 51
02/04/18 - 09:04:51 - INFO - Upating DailySale: 52
02/04/18 - 09:04:51 - INFO - Upating DailySale: 53
02/04/18 - 09:04:51 - INFO - Upating DailySale: 54
02/04/18 - 09:04:51 - INFO - Upating DailySale: 55
02/04/18 - 09:04:51 - INFO - Upating DailySale: 56
02/04/18 - 09:04:51 - INFO - Upating DailySale: 57
02/04/18 - 09:04:51 - INFO - Upating DailySale: 58
02/04/18 - 09:04:51 - INFO - Upating DailySale: 59
02/04/18 - 09:04:51 - INFO - Upating DailySale: 60
02/04/18 - 09:04:51 - INFO - Upating DailySale: 61
02/04/18 - 09:04:51 - INFO - Upating DailySale: 62
02/04/18 - 09:04:51 - INFO - Upating DailySale: 63
02/04/18 - 09:04:51 - INFO - Upating DailySale: 64
02/04/18 - 09:04:51 - INFO - Upating DailySale: 65
02/04/18 - 09:04:51 - INFO - Upating DailySale: 66
02/04/18 - 09:04:51 - INFO - Upating DailySale: 67
02/04/18 - 09:04:51 - INFO - Upating DailySale: 68
02/04/18 - 09:04:51 - INFO - Upating DailySale: 69
02/04/18 - 09:04:51 - INFO - Upating DailySale: 70
02/04/18 - 09:04:51 - INFO - Upating DailySale: 71
02/04/18 - 09:04:51 - INFO - Upating DailySale: 72
02/04/18 - 09:04:51 - INFO - Upating DailySale: 73
02/04/18 - 09:04:51 - INFO - Upating DailySale: 74
02/04/18 - 09:04:51 - INFO - Upating DailySale: 75
02/04/18 - 09:04:51 - INFO - Upating DailySale: 76
02/04/18 - 09:04:51 - INFO - Upating DailySale: 77
02/04/18 - 09:04:51 - INFO - Upating DailySale: 78
02/04/18 - 09:04:51 - INFO - Upating DailySale: 79
02/04/18 - 09:04:52 - INFO - Upating DailySale: 80
02/04/18 - 09:04:52 - INFO - Upating DailySale: 81
02/04/18 - 09:04:52 - INFO - Upating DailySale: 82
02/04/18 - 09:04:52 - INFO - Upating DailySale: 83
02/04/18 - 09:04:52 - INFO - Upating DailySale: 84
02/04/18 - 09:04:52 - INFO - Upating DailySale: 85
02/04/18 - 09:04:52 - INFO - Upating DailySale: 86
02/04/18 - 09:04:52 - INFO - Upating DailySale: 87
02/04/18 - 09:04:52 - INFO - Upating DailySale: 88
02/04/18 - 09:04:52 - INFO - Upating DailySale: 89
02/04/18 - 09:04:52 - INFO - Upating DailySale: 90
02/04/18 - 09:04:52 - INFO - Upating DailySale: 91
02/04/18 - 09:04:52 - INFO - Upating DailySale: 92
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 82
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 83
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 84
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 85
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 86
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 87
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 88
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 89
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 90
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 91
02/04/18 - 09:04:52 - INFO - Destroying DailySale: 92
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 82
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 83
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 84
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 85
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 86
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 87
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 88
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 89
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 90
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 91
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 92
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 93
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 94
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 95
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 96
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 97
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 98
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 99
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 100
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 101
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 102
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 103
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 104
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 105
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 106
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 107
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 108
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 109
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 110
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 111
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 112
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 113
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 114
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 115
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 116
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 117
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 118
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 119
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 120
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 121
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 122
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 123
02/04/18 - 09:04:52 - INFO - Inserted DailySale: 124
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 125
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 126
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 127
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 128
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 129
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 130
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 131
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 132
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 133
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 134
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 135
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 136
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 137
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 138
02/04/18 - 09:04:53 - INFO - Inserted DailySale: 139
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 562
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 563
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 564
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 547
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 548
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 549
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 550
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 551
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 552
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 553
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 554
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 555
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 556
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 557
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 558
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 559
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 560
02/04/18 - 09:04:53 - INFO - Upating ExpenseItem: 561
02/04/18 - 09:10:34 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:38 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:39 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:40 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:40 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:40 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:40 - INFO - Changed to tab: Vendors
02/04/18 - 09:10:40 - INFO - Changed to tab: Vendors
