11/01/17 - 13:29:12 - INFO - Application starting
11/01/17 - 13:29:12 - INFO - Loading models
11/01/17 - 13:29:13 - INFO - Models loaded
11/01/17 - 13:29:17 - INFO - Upating BreadOrder: 171
11/01/17 - 13:29:17 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:18 - INFO - Upating BreadOrder: 169
11/01/17 - 13:29:18 - INFO - Upating BreadOrder: 170
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:20 - INFO - Changed to tab: Vendors
11/01/17 - 13:29:21 - INFO - Executing VendorTabVM#GenerateOrderSheet
11/01/17 - 13:29:36 - INFO - Executing VendorTabVM#GenerateOrderSheet
11/01/17 - 13:42:49 - INFO - Changed to tab: Orders
11/01/17 - 13:42:52 - INFO - Executing OrderTabVM#StartNewOrder
11/01/17 - 13:42:52 - INFO - Adding temp tab: NewOrderVM
11/01/17 - 13:42:52 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:56 - INFO - Changed to tab: New Order
11/01/17 - 13:42:57 - INFO - Executing NewOrderVM#ClearOrderAmounts
11/01/17 - 13:42:57 - INFO - Changed to tab: New Order
11/01/17 - 13:42:57 - INFO - Changed to tab: New Order
11/01/17 - 13:42:57 - INFO - Changed to tab: New Order
11/01/17 - 13:42:57 - INFO - Changed to tab: New Order
11/01/17 - 13:42:58 - INFO - Changed to tab: New Order
11/01/17 - 13:42:58 - INFO - Changed to tab: New Order
11/01/17 - 13:42:58 - INFO - Changed to tab: New Order
11/01/17 - 13:42:58 - INFO - Changed to tab: New Order
11/01/17 - 13:42:58 - INFO - Changed to tab: New Order
11/01/17 - 13:42:58 - INFO - Changed to tab: New Order
11/01/17 - 13:43:04 - INFO - Changed to tab: New Order
