12/05/17 - 10:54:11 - INFO - Application starting
12/05/17 - 10:54:11 - INFO - Loading models
12/05/17 - 10:54:12 - INFO - Models loaded
12/05/17 - 10:54:14 - INFO - Upating BreadOrder: 219
12/05/17 - 10:54:16 - INFO - Destroying DailySale: 0
12/05/17 - 10:54:16 - INFO - Destroying DailySale: 1
12/05/17 - 10:54:16 - INFO - Destroying DailySale: 2
12/05/17 - 10:54:16 - INFO - Destroying DailySale: 3
12/05/17 - 10:54:16 - INFO - Destroying DailySale: 4
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 0
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 1
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 2
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 3
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 4
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 5
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 6
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 7
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 8
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 9
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 10
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 11
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 12
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 13
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 14
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 15
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 16
12/05/17 - 10:54:16 - INFO - Inserted DailySale: 17
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 303
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 304
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 305
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 306
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 307
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 308
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 309
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 310
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 311
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 312
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 313
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 314
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 315
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 316
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 317
12/05/17 - 10:54:16 - INFO - Upating ExpenseItem: 318
12/05/17 - 10:54:16 - INFO - Upating BreadOrder: 218
12/05/17 - 10:54:17 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:18 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:19 - INFO - Changed to tab: Vendors
12/05/17 - 10:54:20 - INFO - Executing VendorTabVM#GenerateOrderSheet
12/05/17 - 13:51:00 - INFO - Changed to tab: Orders
12/05/17 - 13:51:01 - INFO - Executing OrderTabVM#StartNewOrder
12/05/17 - 13:51:02 - INFO - Adding temp tab: NewOrderVM
12/05/17 - 13:51:02 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:05 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Executing NewOrderVM#ClearOrderAmounts
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:06 - INFO - Changed to tab: New Order
12/05/17 - 13:51:07 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:09 - INFO - Changed to tab: New Order
12/05/17 - 13:51:10 - INFO - Changed to tab: New Order
12/05/17 - 13:51:10 - INFO - Changed to tab: New Order
12/05/17 - 13:51:10 - INFO - Changed to tab: New Order
12/05/17 - 13:51:10 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:11 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:12 - INFO - Changed to tab: New Order
12/05/17 - 13:51:13 - INFO - Changed to tab: New Order
12/05/17 - 13:51:14 - INFO - Changed to tab: New Order
12/05/17 - 13:51:14 - INFO - Changed to tab: New Order
12/05/17 - 13:51:14 - INFO - Changed to tab: New Order
12/05/17 - 13:51:14 - INFO - Changed to tab: New Order
12/05/17 - 13:51:14 - INFO - Changed to tab: New Order
