Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
3,Feta,2,55.39,Dairy,33lbs,2,5lb BAG,1,OZ-wt,160,1,12/11/2017 12:00:00 AM,2
18,Artichoke Hearts,4,43.83,Grocery,6# CANS,18,CAN,6,OZ-wt,324,10000,12/11/2017 12:00:00 AM,2
20,BBQ Sauce,1,40.29,Grocery,CS 39.5lbs,3,JUG,4,OZ-wt,632,9800,12/11/2017 12:00:00 AM,2
23,Roasted Bell Peppers,7,28.15,Grocery,6# CANS,28,CAN,6,OZ-wt,360,98,12/11/2017 12:00:00 AM,2
31,Tapatio,1,11.19,Grocery,EA,12,BOTTLE,12,EA,12,10000,12/11/2017 12:00:00 AM,2
32,Sriracha,1,19.13,Grocery,12x17oz,14,BOTTLE,12,EA,12,100,12/11/2017 12:00:00 AM,2
40,Tahini,1,58.3,Grocery,40lbs,0.7,LB,1,OZ-wt,640,9800,12/11/2017 12:00:00 AM,2
41,Kalamata Olives,3,63.52,Grocery,6x4.4lbs,12,JAR,6,OZ-wt,64.8,10000,12/11/2017 12:00:00 AM,2
42,Lemon Juice,1,16.69,Grocery,1 Gal,8,GAL,4,OZ-wt,128,100,12/11/2017 12:00:00 AM,2
43,Dried Basil,1,9.81,Herbs,12oz,72.4,OZ-wt,12,TBL,274.29,100,12/11/2017 12:00:00 AM,2
44,Thyme,2,13.33,Herbs,2 lbs,110.2,OZ-wt,32,TBL,243.81,100,12/11/2017 12:00:00 AM,2
45,Oregano,2,13.88,Herbs,1.5lbs,137.2,OZ-wt,24,TBL,232.73,100,12/11/2017 12:00:00 AM,2
46,Cumin,1,17.47,Herbs,4.5lbs,104.4,OZ-wt,80,TBL,360,100,12/11/2017 12:00:00 AM,2
47,Cayenne Pepper,1,21.46,Herbs,5lbs,47.6,OZ-wt,80,TBL,1,1,12/11/2017 12:00:00 AM,2
48,Pepper,2,33.9,Herbs,5lbs,317.4,OZ-wt,80,TBL,312.2,100,12/11/2017 12:00:00 AM,2
51,Paprika,1,20.58,Herbs,5lbs,131.2,OZ-wt,80,TBL,36.96,1E+08,12/11/2017 12:00:00 AM,2
60,Cucumbers,1,7.95,Produce,36 COUNT,0.4,CASE,1,OZ-wt,420,950000,12/11/2017 12:00:00 AM,2
64,Fresh Basil,2,3.95,Produce,1lb,0.25,BAG,1,OZ-wt,16,65,12/11/2017 12:00:00 AM,2
99,Cinnamon,1,18.02,Herbs,,71.2,LB,80,OZ-wt,1,1,12/11/2017 12:00:00 AM,2
112,Dried Garbanzo Beans,1,23.26,Grocery,25lb,36,QUART,13.318,LB,1.877,1000000,12/11/2017 12:00:00 AM,2
113,Crushed Red Pepper,1,17.15,Herbs,5lbs,54.8,OZ-wt,80,TBL,1,1000000,12/11/2017 12:00:00 AM,2
123,Detergent,2,21.02,Janitorial,5 GAL,0.9,GALLON,4,1,1,100,12/11/2017 12:00:00 AM,2
124,De-Greaser,4,5.53,Janitorial,1 Gal,3,GALLON,4,1,1,100,12/11/2017 12:00:00 AM,2
128,Bay Leaves,1,10.48,Herbs,8oz,30,OZ-wt,8,OZ-wt,1,,12/11/2017 12:00:00 AM,2
129,Lemonade Base,1,21.18,Beverage,EA,16.75,GALLON,4,1,16,,12/11/2017 12:00:00 AM,2
130,Pink Lemonade Base,2,22.23,Beverage,4 GAL,20.4,GALLON,4,1,1,,12/11/2017 12:00:00 AM,2
