Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,2,55.99,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,3/11/2018 1:15:01 PM,0
1,Cheddar,3,42.04,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,2/26/2018 11:53:10 AM,0
18,Artichoke Hearts,1,62.57,Grocery,6# CANS,0,CAN,6,OZ-wt,324,10000,2/22/2018 2:57:03 PM,0
19,Mayonnaise,1,26.99,Grocery,4 GAL,7,JUG,4,EA,1,1,2/26/2018 11:53:10 AM,0
21,Macaroni,3,19.82,Grocery,20lb CASE,4,BAG,2,EA,160,2.41,2/26/2018 11:53:10 AM,0
25,Tomato Juice,2,15.79,Grocery,12x48oz CANS,24,CAN,12,EA,1,1,2/26/2018 11:53:10 AM,0
26,Clam Juice,1,36.67,Grocery,12x48oz CANS,2,CAN,12,EA,1,1,,2
36,Olive Oil,1,49.95,Grocery,6 GAL,8,JUG,6,OZ-fl,128,1,2/26/2018 11:53:10 AM,0
54,Yellow Onions,3,16.59,Produce,20lbs,7,BAG,4,OZ-wt,80,1,2/26/2018 11:53:10 AM,0
56,Potatoes,1,17.89,Produce,50lb,0.5,1/2 CASE,1,OZ-wt,800,0.85,2/26/2018 11:53:10 AM,0
57,Spinach,2,16.5,Produce,4x2.5lb,6,BAG,4,OZ-wt,160,99,2/26/2018 11:53:10 AM,0
58,Mixed Greens,2,5.99,Produce,3lb,0,BAG,1,OZ-wt,48,9800,2/26/2018 11:53:10 AM,0
59,Mushrooms,2,16.9,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,0.9,2/22/2018 2:57:03 PM,0
60,Cucumbers,1,23.07,Produce,36 COUNT,0.1,CASE,1,OZ-wt,420,950000,2/26/2018 11:53:10 AM,0
61,Tomatoes,1,16.71,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,2/26/2018 11:53:10 AM,0
64,Fresh Basil,1,8.99,Produce,1lb,0,BAG,1,OZ-wt,16,1,2/26/2018 11:53:10 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,1,EACH,6,OZ-wt,44,100,2/26/2018 11:53:10 AM,0
72,Chicken Breast,2,42.53,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,2/26/2018 11:53:10 AM,0
74,Italian Sausage,3,47.5,Meats,20lb CASE,11,BAG,4,OZ-wt,160,91,2/26/2018 11:53:10 AM,0
75,Bacon Bits,2,51.99,Meats,10lb CASE,0,BAG,2,OZ-wt,80,1,2/26/2018 11:53:10 AM,0
