Id,LastPurchasedDate,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastVendorId
78,2/7/2018 11:52:55 AM,Biopack #4,Paper Goods,Case,0,Stack,4,Each,40,4E+07,39.55,8,3
79,,Water Cups,Paper Goods,2500,19,Sleeve,25,1,2500,10000,57.52,1,3
81,2/7/2018 11:52:55 AM,Spoons,Paper Goods,1000,0,Sleeve,10,1,1,10000,7,1,3
82,2/7/2018 11:52:55 AM,Forks,Paper Goods,1000,0,Sleeve,10,1,1,10000,20.59,1,3
86,1/31/2018 1:35:33 PM,Small To-Go Bags,Paper Goods,500,0,Case,1,1,1,100,16.21,1,3
87,,Foil Roll,Paper Goods,ROLL,1.1,1,1,1,1,1E+08,17.99,1,2
118,,Large To-Go Bags,Paper Goods,500,0.4,BAG,1,1,1,100,52.81,1,3
121,1/31/2018 1:35:33 PM,Die-Cut To-Go Bags,Paper Goods,500,0,CASE,1,1,1,100,60.34,1,3
122,1/24/2018 12:00:00 AM,Garbage Bags,Janitorial,250,1.1,CASE,1,1,1,100,28.62,1,3
125,1/16/2018 12:00:00 AM,Bleach,Janitorial,4 GAL,0,GALLON,4,1,1,100,8,1,3
126,12/5/2017 12:00:00 AM,Steel Wool,Janitorial,12 COUNT,9,Sleeve,12,1,1,100,4.77,1,3
